"model_name","ISIMIP_name"
"Fagussylvatica","fasy"
"Piceaabies","piab"
"Pinussylvestris","pisy"
"Pinuspinaster","pipi"
"Quercusrobur","quro"
"Quercuspetraea","qupe"
"Larixdecidua","lade"
"Acerplatanoides","acpl"
"Eucalyptusglobulus","eugl"
"Betulapendula","bepe"
"Betulapubescens","bepu"
"Robiniapseudoacacia","rops"
"Fraxinusexcelsior","frex"
"Populusnigra","poni"
"Sorbusaucuparia","soau"

