Month	n_days	Rg_f	Ta_f	Tmax	Tmin	Rh_f	Ts_f	Precip	SWC	LAI	ET	LITTERFALL
2	19	5.040567	0.492546	4.196980	-3.772090	90.482900	-9999	0.657163	-9999	-9999	-9999	-9999
2	20	4.376376	0.393791	2.740750	-1.601320	96.212600	-9999	1.577250	-9999	-9999	-9999	-9999
2	21	5.179352	-0.606025	2.960720	-3.484920	91.308800	-9999	4.295750	-9999	-9999	-9999	-9999
2	22	3.830034	-2.182440	2.492030	-5.580690	92.427600	-9999	8.864890	-9999	-9999	-9999	-9999
2	23	8.574846	-4.858590	-0.568701	-8.823000	85.293000	-9999	1.904980	-9999	-9999	-9999	-9999
2	24	5.267635	1.339410	3.871420	-7.309780	91.282000	-9999	2.861310	-9999	-9999	-9999	-9999
2	25	7.688874	1.678220	3.631950	-0.117858	92.245400	-9999	1.946860	-9999	-9999	-9999	-9999
2	26	8.810294	0.504662	3.074940	-2.680240	92.508000	-9999	0.113202	-9999	-9999	-9999	-9999
2	27	6.910203	0.011406	4.486810	-2.659540	91.136700	-9999	0.021007	-9999	-9999	-9999	-9999
2	28	6.381340	0.346245	3.219290	-2.794280	92.961800	-9999	0.867667	-9999	-9999	-9999	-9999
3	1	5.419898	0.849857	5.006000	-3.851580	95.821300	-9999	5.551830	-9999	-9999	-9999	-9999
3	2	6.620832	-4.701500	-0.975473	-7.828850	89.162100	-9999	1.731220	-9999	-9999	-9999	-9999
3	3	9.879667	-5.620140	0.317771	-10.607600	84.411500	-9999	0.082486	-9999	-9999	-9999	-9999
3	4	10.077178	-6.026090	-0.019021	-9.730920	78.877600	-9999	0.000000	-9999	-9999	-9999	-9999
3	5	10.340352	-5.207610	1.102930	-9.786640	77.900900	-9999	0.000029	-9999	-9999	-9999	-9999
3	6	10.863677	-3.751710	2.452200	-8.780020	73.321900	-9999	0.000000	-9999	-9999	-9999	-9999
3	7	11.005373	-1.535400	4.745900	-6.669330	71.002600	-9999	0.000000	-9999	-9999	-9999	-9999
3	8	11.305354	0.768833	7.197470	-3.814020	61.307200	-9999	0.000000	-9999	-9999	-9999	-9999
3	9	11.073455	2.240360	7.925930	-3.781700	46.147500	-9999	0.000000	-9999	-9999	-9999	-9999
3	10	8.292681	3.069860	7.001330	-0.721884	67.940200	-9999	0.260349	-9999	-9999	-9999	-9999
3	11	7.492971	3.011330	5.805470	0.587015	95.124700	-9999	0.669516	-9999	-9999	-9999	-9999
3	12	10.577001	2.491150	5.978840	-0.059255	85.752100	-9999	0.363832	-9999	-9999	-9999	-9999
3	13	8.279298	4.659980	8.954180	0.216227	69.114000	-9999	0.000000	-9999	-9999	-9999	-9999
3	14	6.402326	3.631470	6.425590	1.397040	88.534900	-9999	2.701940	-9999	-9999	-9999	-9999
3	15	6.304867	3.361850	6.252430	1.055670	88.650000	-9999	9.617660	-9999	-9999	-9999	-9999
3	16	3.161696	1.280830	3.768550	-0.811971	94.709400	-9999	19.141800	-9999	-9999	-9999	-9999
3	17	6.550874	0.896610	4.111840	-2.012990	93.606400	-9999	2.783950	-9999	-9999	-9999	-9999
3	18	7.753977	3.650090	6.008540	-0.325369	93.538100	-9999	12.197800	-9999	-9999	-9999	-9999
3	19	4.445669	4.014320	5.820180	1.909430	95.182800	-9999	22.488400	-9999	-9999	-9999	-9999
3	20	2.397695	0.939335	4.206870	-1.332080	93.141200	-9999	14.267600	-9999	-9999	-9999	-9999
3	21	11.904710	2.439370	5.929710	-1.169520	88.517900	-9999	2.188950	-9999	-9999	-9999	-9999
3	22	9.211622	3.284670	6.086080	0.041117	90.760200	-9999	5.447800	-9999	-9999	-9999	-9999
3	23	10.382083	3.039160	5.576350	0.753000	85.034900	-9999	2.260980	-9999	-9999	-9999	-9999
3	24	14.394154	7.119330	13.127000	1.219250	66.004700	-9999	0.000000	-9999	-9999	-9999	-9999
3	25	14.651280	10.663500	17.113700	5.993020	55.250100	-9999	0.000000	-9999	-9999	-9999	-9999
3	26	14.885683	10.390700	16.496100	6.935800	61.358900	-9999	0.000000	-9999	-9999	-9999	-9999
3	27	13.385348	10.245300	16.176900	6.413710	78.580600	-9999	0.327450	-9999	-9999	-9999	-9999
3	28	6.344257	8.815650	13.773900	5.246770	90.371300	-9999	0.038026	-9999	-9999	-9999	-9999
3	29	15.115680	9.873450	17.629300	4.806280	71.202500	-9999	0.000000	-9999	-9999	-9999	-9999
3	30	15.694387	9.990300	17.718000	5.908490	59.128600	-9999	0.000000	-9999	-9999	-9999	-9999
3	31	15.951600	10.873500	19.839700	5.705270	56.745000	-9999	0.000000	-9999	-9999	-9999	-9999
4	1	15.229987	9.405890	17.455100	3.720270	73.691400	-9999	0.003001	-9999	-9999	-9999	-9999
4	2	6.231479	2.612070	8.614350	-3.826180	81.422600	-9999	5.836390	-9999	-9999	-9999	-9999
4	3	10.083830	-3.281580	-0.423643	-5.387830	75.277800	-9999	0.406449	-9999	-9999	-9999	-9999
4	4	12.632112	2.983960	9.965240	-5.931070	86.873200	-9999	9.919190	-9999	-9999	-9999	-9999
4	5	7.079676	4.182540	7.223730	1.214410	91.086300	-9999	9.192650	-9999	-9999	-9999	-9999
4	6	7.099065	0.473429	4.265110	-3.226390	87.664200	-9999	7.787530	-9999	-9999	-9999	-9999
4	7	6.249874	-3.441550	-0.197080	-7.124830	86.484500	-9999	9.158230	-9999	-9999	-9999	-9999
4	8	8.622694	-5.779710	-1.532710	-9.970220	88.346500	-9999	2.786630	-9999	-9999	-9999	-9999
4	9	9.778666	-3.753380	0.482424	-10.533800	87.677600	-9999	2.435440	-9999	-9999	-9999	-9999
4	10	14.447894	-0.300375	4.073370	-5.427130	86.078300	-9999	3.028050	-9999	-9999	-9999	-9999
4	11	6.399095	0.492197	3.152680	-2.268320	91.311000	-9999	5.145210	-9999	-9999	-9999	-9999
4	12	15.571872	2.898110	7.403660	-1.833440	86.174600	-9999	2.247340	-9999	-9999	-9999	-9999
4	13	9.274694	0.475809	3.281220	-2.979930	80.185700	-9999	3.255360	-9999	-9999	-9999	-9999
4	14	13.511923	1.799200	6.782290	-3.405500	76.197800	-9999	4.541640	-9999	-9999	-9999	-9999
4	15	15.685748	3.145210	7.685210	-1.890970	76.856400	-9999	2.509180	-9999	-9999	-9999	-9999
4	16	15.926890	5.508460	11.046300	0.508566	77.995200	-9999	0.370447	-9999	-9999	-9999	-9999
4	17	11.101449	5.638440	11.834700	1.575370	84.201100	-9999	2.724370	-9999	-9999	-9999	-9999
4	18	10.351670	3.799270	8.335570	0.634725	83.095900	-9999	0.281536	-9999	-9999	-9999	-9999
4	19	14.835052	2.702520	7.078040	-0.645823	76.732300	-9999	0.029624	-9999	-9999	-9999	-9999
4	20	18.805824	4.571450	10.985800	-1.584330	78.716800	-9999	0.000003	-9999	-9999	-9999	-9999
4	21	19.189441	7.740980	15.524800	1.419790	76.790300	-9999	0.000000	-9999	-9999	-9999	-9999
4	22	18.380390	9.489450	17.301900	2.312150	78.816600	-9999	0.000000	-9999	-9999	-9999	-9999
4	23	7.075961	8.861950	13.488600	4.934160	88.546200	-9999	2.172270	-9999	-9999	-9999	-9999
4	24	16.835990	11.712500	18.138000	6.247980	83.593400	-9999	0.147683	-9999	-9999	-9999	-9999
4	25	13.058064	12.660200	20.147200	7.791070	80.424900	-9999	7.672460	-9999	-9999	-9999	-9999
4	26	7.139310	8.487860	12.672400	4.983630	85.672600	-9999	2.224290	-9999	-9999	-9999	-9999
4	27	12.181536	8.761480	12.536500	5.153370	84.347800	-9999	3.694400	-9999	-9999	-9999	-9999
4	28	3.899050	8.494360	11.166600	5.668390	92.343900	-9999	18.700900	-9999	-9999	-9999	-9999
4	29	8.934192	6.270330	9.508670	3.892480	87.108500	-9999	1.089930	-9999	-9999	-9999	-9999
4	30	20.588775	6.580210	11.554100	2.920490	80.056800	-9999	0.009106	-9999	-9999	-9999	-9999
5	1	21.331987	7.862540	14.182800	1.445660	68.384000	-9999	0.000000	-9999	-9999	-9999	-9999
5	2	20.581690	9.653320	15.063200	4.756870	63.148200	-9999	0.000000	-9999	-9999	-9999	-9999
5	3	13.482202	6.749140	11.900000	2.063030	75.288900	-9999	0.965789	-9999	-9999	-9999	-9999
5	4	16.330810	6.609400	13.227500	1.337960	72.137100	-9999	0.201615	-9999	-9999	-9999	-9999
5	5	12.818649	8.240290	13.999800	2.004400	77.757500	-9999	0.221768	-9999	-9999	-9999	-9999
5	6	9.610445	8.194940	11.787600	3.634860	87.803000	-9999	9.335020	-9999	-9999	-9999	-9999
5	7	11.332224	7.348380	12.355400	3.048190	82.807100	-9999	0.801212	-9999	-9999	-9999	-9999
5	8	20.496499	9.359190	15.768300	2.413730	80.828200	-9999	0.000016	-9999	-9999	-9999	-9999
5	9	15.817939	11.520300	16.250100	5.967410	79.981400	-9999	0.185944	-9999	-9999	-9999	-9999
5	10	9.429264	11.542000	14.856700	7.951060	86.147600	-9999	8.565940	-9999	-9999	-9999	-9999
5	11	12.308285	11.581400	15.671500	7.532080	83.999900	-9999	5.382140	-9999	-9999	-9999	-9999
5	12	17.577216	11.761200	16.490500	7.605540	74.061000	-9999	0.005792	-9999	-9999	-9999	-9999
5	13	8.615194	9.066980	14.358900	4.166760	82.617300	-9999	1.893430	-9999	-9999	-9999	-9999
5	14	12.388896	5.826080	10.751800	2.500280	74.551600	-9999	0.012698	-9999	-9999	-9999	-9999
5	15	14.149556	7.592370	13.239100	2.823980	84.038500	-9999	0.286258	-9999	-9999	-9999	-9999
5	16	20.196951	9.382690	15.869000	2.673440	79.199700	-9999	0.152939	-9999	-9999	-9999	-9999
5	17	19.659802	11.499100	18.061500	3.665170	73.751700	-9999	0.375082	-9999	-9999	-9999	-9999
5	18	10.726301	10.893900	16.755100	5.969670	86.926900	-9999	3.566640	-9999	-9999	-9999	-9999
5	19	13.983408	10.258000	14.705200	5.527750	84.828400	-9999	4.311080	-9999	-9999	-9999	-9999
5	20	15.955055	8.228270	13.235500	4.491340	80.116500	-9999	6.712640	-9999	-9999	-9999	-9999
5	21	10.082793	7.186850	10.747000	3.819710	79.758200	-9999	2.635730	-9999	-9999	-9999	-9999
5	22	9.250244	6.267050	9.060250	3.092870	86.835100	-9999	7.829820	-9999	-9999	-9999	-9999
5	23	8.985082	7.337890	12.167200	3.719670	83.876200	-9999	1.541480	-9999	-9999	-9999	-9999
5	24	21.163249	11.431300	17.165800	3.349280	80.069700	-9999	0.000000	-9999	-9999	-9999	-9999
5	25	9.162288	10.710000	13.174300	7.335580	86.758900	-9999	5.486240	-9999	-9999	-9999	-9999
5	26	5.447615	10.493000	13.880300	7.947150	93.895300	-9999	7.358670	-9999	-9999	-9999	-9999
5	27	4.655819	9.245880	11.490900	7.076510	91.729600	-9999	12.015900	-9999	-9999	-9999	-9999
5	28	4.812852	9.185180	11.921800	6.482980	93.035300	-9999	35.284100	-9999	-9999	-9999	-9999
5	29	6.490584	7.911560	10.767800	4.768070	86.202200	-9999	4.020770	-9999	-9999	-9999	-9999
5	30	11.682490	7.082360	11.714000	2.575750	85.908000	-9999	4.133010	-9999	-9999	-9999	-9999
5	31	10.935044	6.439140	10.404500	2.217080	83.249400	-9999	4.375030	-9999	-9999	-9999	-9999
6	1	8.581127	5.773470	8.526880	2.591680	89.265800	-9999	10.225500	-9999	-9999	-9999	-9999
6	2	7.624325	6.173190	9.320300	3.227600	87.937700	-9999	12.170300	-9999	-9999	-9999	-9999
6	3	17.432583	8.654520	13.074400	2.182380	80.900700	-9999	2.398870	-9999	-9999	-9999	-9999
6	4	13.874025	7.932470	12.161000	3.299320	84.923700	-9999	6.530030	-9999	-9999	-9999	-9999
6	5	10.722326	8.653750	11.317900	4.239900	87.887300	-9999	2.785470	-9999	-9999	-9999	-9999
6	6	12.738729	11.020900	15.010500	7.016660	85.507400	-9999	4.976020	-9999	-9999	-9999	-9999
6	7	13.584154	12.597300	17.295800	6.988530	86.972700	-9999	8.786490	-9999	-9999	-9999	-9999
6	8	6.653414	5.903110	10.803300	2.263490	88.491000	-9999	16.009500	-9999	-9999	-9999	-9999
6	9	13.186540	6.429390	10.973100	2.325750	83.283700	-9999	1.689850	-9999	-9999	-9999	-9999
6	10	23.740559	11.370800	17.667000	2.627660	78.099600	-9999	1.121800	-9999	-9999	-9999	-9999
6	11	6.528721	10.256400	12.750900	8.054390	87.656700	-9999	4.875630	-9999	-9999	-9999	-9999
6	12	19.762099	12.585600	16.832900	8.100830	82.980200	-9999	0.158999	-9999	-9999	-9999	-9999
6	13	14.873674	13.174800	17.673700	8.547150	82.286600	-9999	3.233870	-9999	-9999	-9999	-9999
6	14	15.419463	12.518200	18.052600	8.286840	83.821800	-9999	9.821830	-9999	-9999	-9999	-9999
6	15	12.220934	12.058500	15.998500	8.044010	91.034700	-9999	12.961200	-9999	-9999	-9999	-9999
6	16	11.831184	12.916500	17.347100	9.015350	86.853500	-9999	2.090920	-9999	-9999	-9999	-9999
6	17	11.457764	13.025200	17.067300	8.372590	89.065300	-9999	6.613020	-9999	-9999	-9999	-9999
6	18	21.556973	14.935600	20.208100	10.228500	80.716100	-9999	0.000006	-9999	-9999	-9999	-9999
6	19	17.407008	13.839200	20.399100	8.453430	84.809900	-9999	0.000003	-9999	-9999	-9999	-9999
6	20	4.235630	9.000830	11.457800	7.355620	89.925900	-9999	17.247100	-9999	-9999	-9999	-9999
6	21	17.734205	10.779600	15.747900	6.571410	79.477100	-9999	1.661040	-9999	-9999	-9999	-9999
6	22	23.315386	16.399100	22.833100	7.557220	76.636400	-9999	0.359304	-9999	-9999	-9999	-9999
6	23	20.386339	16.926400	22.074200	11.170900	83.924300	-9999	1.455920	-9999	-9999	-9999	-9999
