Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD	Ts_f	Precip	SWC	LAI	ET	Litterfall											
1	1	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
1	2	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
1	3	2.744352	-5.07	-3.54	-6.84	-9999	-9999	0.2	-9999	-9999	-9999	-9999											
1	4	4.755384	-5.21	-0.28	-7.74	-9999	-9999	2.6	-9999	-9999	-9999	-9999											
1	5	6.860088	-4.88	0.81	-8.76	-9999	-9999	1.0	-9999	-9999	-9999	-9999											
1	6	6.696252	-3.06	2.76	-5.88	-9999	-9999	0.0	-9999	-9999	-9999	-9999											
1	7	7.281108	-2.73	1.10	-4.90	-9999	-9999	0.0	-9999	-9999	-9999	-9999											
1	8	2.39544	-1.21	1.05	-2.47	-9999	-9999	0.5	-9999	-9999	-9999	-9999											
1	9	1.779516	-1.21	-0.05	-2.28	-9999	-9999	0.7	-9999	-9999	-9999	-9999											
1	10	7.023924	-1.41	2.33	-4.50	-9999	-9999	0.2	-9999	-9999	-9999	-9999											
1	11	9.069444	-1.90	1.74	-5.21	-9999	-9999	0.0	-9999	-9999	-9999	-9999											
1	12	3.797748	2.18	3.91	-0.15	-9999	-9999	1.2	-9999	-9999	-9999	-9999											
1	13	4.006296	3.67	5.30	2.63	-9999	-9999	0.0	-9999	-9999	-9999	-9999											
1	14	5.793048	4.39	6.47	2.27	-9999	-9999	0.0	-9999	-9999	-9999	-9999											
1	15	7.127316	-1.37	1.89	-4.51	-9999	-9999	1.4	-9999	-9999	-9999	-9999											
1	16	6.231564	-2.99	-1.59	-4.58	-9999	-9999	0.0	-9999	-9999	-9999	-9999											
1	17	0.797796	-1.26	0.00	-2.45	-9999	-9999	2.4	-9999	-9999	-9999	-9999											
1	18	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
1	19	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
1	20	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
1	21	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
1	22	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
1	23	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
1	24	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
1	25	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
1	26	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
1	27	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
1	28	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
1	29	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
1	30	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
1	31	10.531224	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
2	1	11.822292	0.53	4.09	-3.00	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
2	2	10.24902	7.27	10.38	3.74	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
2	3	11.68488	5.87	8.36	3.24	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
2	4	12.837672	6.99	10.56	3.41	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
2	5	13.07736	8.38	10.59	6.12	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
2	6	8.922348	9.56	12.27	6.90	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
2	7	8.216856	2.19	6.26	-1.20	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
2	8	12.92382	0.06	1.57	-1.50	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
2	9	9.160344	1.48	3.66	-1.80	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
2	10	4.570524	-2.65	-0.94	-4.49	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
2	11	7.733808	-3.10	-1.21	-4.68	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
2	12	12.211128	-6.67	-3.20	-9.63	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
2	13	14.814972	-7.44	-4.40	-10.60	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
2	14	11.1285	-2.58	0.59	-5.23	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
2	15	12.714948	-2.14	0.87	-4.79	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
2	16	15.288192	-1.96	0.69	-4.47	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
2	17	15.517152	-4.38	-1.14	-7.13	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
2	18	1.786032	-3.52	-0.86	-5.68	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
2	19	7.58736	-2.43	-0.58	-3.74	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
2	20	4.545576	1.83	4.27	0.04	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
2	21	1.316988	4.77	6.52	3.27	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
2	22	7.779528	3.27	3.70	2.61	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
2	23	3.243312	-0.15	3.53	-2.30	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
2	24	6.567624	-3.55	-1.63	-5.00	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
2	25	0.598824	-1.23	1.00	-5.15	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
2	26	2.212668	1.70	2.52	0.19	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
2	27	1.785564	-2.78	0.12	-5.19	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
2	28	4.196628	-4.86	-3.11	-6.83	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
3	1	2.026368	-6.57	-5.18	-7.98	-9999	-9999	1.0	-9999	-9999	-9999	-9999											
3	2	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
3	3	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
3	4	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
3	5	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
3	6	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
3	7	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
3	8	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
3	9	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
3	10	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
3	11	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
3	12	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
3	13	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
3	14	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
3	15	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
3	16	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999											
3	17	-9999	8.50	10.01	6.66	-9999	-9999	1.4	-9999	-9999	-9999	-9999											
3	18	19.231596	7.64	9.69	5.92	-9999	-9999	0.0	-9999	-9999	-9999	-9999											
3	19	19.004688	6.60	8.48	4.89	-9999	-9999	0.0	-9999	-9999	-9999	-9999											
3	20	18.820368	4.37	6.90	0.85	-9999	-9999	0.0	-9999	-9999	-9999	-9999											
3	21	7.156224	1.37	3.06	-0.51	-9999	-9999	0.0	-9999	-9999	-9999	-9999											
3	22	5.43168	1.61	2.96	-0.49	-9999	-9999	0.0	-9999	-9999	-9999	-9999											
3	23	5.60664	-1.30	0.44	-3.79	-9999	-9999	15.1	-9999	-9999	-9999	-9999											
3	24	7.149636	-4.00	-3.34	-4.57	-9999	-9999	0.7	-9999	-9999	-9999	-9999											
3	25	3.91104	-3.19	-2.24	-4.09	-9999	-9999	2.9	-9999	-9999	-9999	-9999											
3	26	13.08852	-1.46	0.52	-3.76	-9999	-9999	0.0	-9999	-9999	-9999	-9999											
3	27	17.332812	-1.65	0.49	-3.94	-9999	-9999	0.0	-9999	-9999	-9999	-9999											
3	28	18.69948	0.33	3.58	-2.37	-9999	-9999	0.0	-9999	-9999	-9999	-9999											
3	29	19.022616	2.92	5.83	-0.83	-9999	-9999	0.5	-9999	-9999	-9999	-9999											
3	30	9.542772	4.42	5.50	3.00	-9999	-9999	0.0	-9999	-9999	-9999	-9999											
3	31	14.446872	4.61	7.61	1.99	-9999	-9999	13.0	-9999	-9999	-9999	-9999											
4	1	5.488488	3.82	5.04	2.57	-9999	-9999	13.0	-9999	-9999	-9999	-9999											
4	2	21.474324	5.48	7.76	3.10	-9999	-9999	0.2	-9999	-9999	-9999	-9999											
4	3	16.345152	4.91	6.56	3.65	-9999	-9999	0.0	-9999	-9999	-9999	-9999											
4	4	18.366444	5.04	7.74	3.43	-9999	-9999	0.0	-9999	-9999	-9999	-9999											
4	5	15.398064	3.25	4.88	1.22	-9999	-9999	0.2	-9999	-9999	-9999	-9999											
4	6	13.716864	1.61	3.00	0.31	-9999	-9999	0.0	-9999	-9999	-9999	-9999											
4	7	3.612852	-0.28	0.75	-1.85	-9999	-9999	1.2	-9999	-9999	-9999	-9999											
4	8	23.097024	0.44	3.12	-1.87	-9999	-9999	0.0	-9999	-9999	-9999	-9999											
4	9	1.821924	2.70	4.21	0.29	-9999	-9999	13.2	-9999	-9999	-9999	-9999											
4	10	2.224116	3.70	4.60	2.81	-9999	-9999	22.8	-9999	-9999	-9999	-9999											
4	11	4.468464	3.44	4.28	2.40	-9999	-9999	14.6	-9999	-9999	-9999	-9999											
4	12	2.772936	1.97	3.27	-0.87	-9999	-9999	16.1	-9999	-9999	-9999	-9999											
4	13	5.339988	-1.33	-0.72	-1.70	-9999	-9999	2.6	-9999	-9999	-9999	-9999											
4	14	9.379908	-0.51	1.47	-2.40	-9999	-9999	3.1	-9999	-9999	-9999	-9999											
4	15	20.21184	1.77	4.82	-1.42	-9999	-9999	0.2	-9999	-9999	-9999	-9999											
4	16	3.206844	3.06	4.48	1.55	-9999	-9999	22.3	-9999	-9999	-9999	-9999											
4	17	5.488308	3.51	4.06	2.86	-9999	-9999	13.4	-9999	-9999	-9999	-9999											
4	18	6.704676	2.62	3.23	1.09	-9999	-9999	7.2	-9999	-9999	-9999	-9999											
4	19	2.019924	0.28	1.16	-2.60	-9999	-9999	15.8	-9999	-9999	-9999	-9999											
4	20	5.375304	-0.84	1.04	-2.54	-9999	-9999	9.6	-9999	-9999	-9999	-9999											
4	21	20.606004	3.91	7.47	1.00	-9999	-9999	0.0	-9999	-9999	-9999	-9999											
4	22	24.232932	7.02	9.70	5.28	-9999	-9999	0.2	-9999	-9999	-9999	-9999											
4	23	7.353432	6.16	7.99	3.90	-9999	-9999	5.3	-9999	-9999	-9999	-9999											
4	24	14.203512	5.96	9.48	3.23	-9999	-9999	1.7	-9999	-9999	-9999	-9999											
4	25	2.443824	0.38	5.30	-1.20	-9999	-9999	12.7	-9999	-9999	-9999	-9999											
4	26	6.339276	0.85	1.76	-0.49	-9999	-9999	0.7	-9999	-9999	-9999	-9999											
4	27	15.630696	3.84	6.88	0.97	-9999	-9999	1.7	-9999	-9999	-9999	-9999											
4	28	19.529028	5.77	8.99	3.04	-9999	-9999	0.0	-9999	-9999	-9999	-9999											
4	29	16.159392	5.61	7.97	3.91	-9999	-9999	4.3	-9999	-9999	-9999	-9999											
4	30	3.621744	4.39	5.56	3.10	-9999	-9999	4.1	-9999	-9999	-9999	-9999											
5	1	16.188948	5.30	8.41	2.79	-9999	-9999	0.5	-9999	-9999	-9999	-9999											
5	2	21.37842	5.68	8.87	2.43	-9999	-9999	0.2	-9999	-9999	-9999	-9999											
5	3	22.2057	8.76	12.56	4.91	-9999	-9999	10.8	-9999	-9999	-9999	-9999											
5	4	5.222736	3.94	5.12	2.56	-9999	-9999	23.3	-9999	-9999	-9999	-9999											
5	5	2.894904	2.89	4.08	1.64	-9999	-9999	61.4	-9999	-9999	-9999	-9999											
5	6	2.141064	-0.47	0.70	-1.08	-9999	-9999	12.0	-9999	-9999	-9999	-9999											
