Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	Litterfall
2002	2	17	7.02135	1.54259	4.4253	-0.7859	0.263116	3.16893	0	29.1168	-9999	-9999	-9999
2002	2	18	3.04965	2.67399	5.2764	0.0804	0.406802	3.04895	0.6	29.1101	-9999	-9999	-9999
2002	2	19	4.25741	1.12308	2.3318	-0.8992	0.608065	2.90097	11	30.131	-9999	-9999	-9999
2002	2	20	2.01557	-0.129879	2.17992	-1.8685	-0.0169331	2.4204	3.88085	30.2884	-9999	-9999	-9999
2002	2	21	8.77655	-1.64512	0.0328	-3.4739	1.25187	2.25525	0.8	30.2349	-9999	-9999	-9999
2002	2	22	1.85476	1.21386	4.9891	-1.2917	0.49095	2.09222	5.4	30.702	-9999	-9999	-9999
2002	2	23	3.66952	1.28688	3.2872	-0.425	0.925837	2.05105	1	30.863	-9999	-9999	-9999
2002	2	24	9.21494	0.640108	2.2645	-1.2559	1.15238	1.90671	0	30.5142	-9999	-9999	-9999
2002	2	25	8.81915	0.385585	2.3595	-1.0123	0.852512	1.73127	0.2	30.3222	-9999	-9999	-9999
2002	2	26	1.78242	4.14538	8.2059	-0.3827	0.184629	1.82338	22.4727	32.1921	-9999	-9999	-9999
2002	2	27	2.75256	3.28084	4.6004	1.5911	0.859405	2.42322	7	35.2549	-9999	-9999	-9999
2002	2	28	3.46923	2.75668	4.0995	0.3232	0.519511	2.4524	4.4	34.1656	-9999	-9999	-9999
2002	3	1	6.72404	0.648452	1.7468	-0.5998	0.668836	2.37637	4.8	33.9552	-9999	-9999	-9999
2002	3	2	6.36502	0.622365	3.9794	-1.5151	0.807821	1.78752	0	33.1065	-9999	-9999	-9999
2002	3	3	4.33737	0.982223	4.9321	-1.9334	0.55849	1.73225	2.65532	33.0631	-9999	-9999	-9999
2002	3	4	8.0638	2.31084	4.12073	0.88586	0.808697	2.19639	-9999	-9999	-9999	-9999	-9999
2002	3	5	7.05757	3.12383	6.01325	2.36792	0.828165	2.72526	-9999	-9999	-9999	-9999	-9999
2002	3	6	0.891774	2.83694	3.40964	2.73237	0.628003	2.92646	-9999	-9999	-9999	-9999	-9999
2002	3	7	7.56596	3.37794	8.41167	2.62309	1.07333	3.39201	-9999	-9999	-9999	-9999	-9999
2002	3	8	9.75897	3.24602	6.57826	2.55873	1.32842	3.4921	-9999	-9999	-9999	-9999	-9999
2002	3	9	10.7055	3.39204	5.59304	2.68512	1.46005	3.63307	-9999	-9999	-9999	-9999	-9999
2002	3	10	9.73429	3.7133	5.99678	2.95166	1.44798	3.87088	-9999	-9999	-9999	-9999	-9999
2002	3	11	6.59101	6.99572	8.1846	5.8259	1.23156	4.54918	4.6	31.5369	-9999	-9999	-9999
2002	3	12	10.1851	7.13481	9.5045	4.5982	1.79668	4.99676	2.2	31.7826	-9999	-9999	-9999
2002	3	13	9.20768	3.57907	4.9047	2.2703	1.10096	4.32783	0.4	31.2347	-9999	-9999	-9999
2002	3	14	6.96942	1.30082	2.9205	-0.1367	1.43612	3.76461	0	30.8802	-9999	-9999	-9999
2002	3	15	13.7209	1.52488	4.0175	-0.3954	2.07211	3.02905	0	30.3494	-9999	-9999	-9999
2002	3	16	5.03159	1.92305	3.0698	1.0637	1.17763	3.24061	0	29.9476	-9999	-9999	-9999
2002	3	17	3.24119	1.66834	2.8758	0.598	0.21178	3.20033	0	29.8387	-9999	-9999	-9999
2002	3	18	6.12878	7.04073	11.2244	2.8374	0.169126	4.42947	2.6	30.232	-9999	-9999	-9999
2002	3	19	1.86824	5.80852	8.6866	2.9721	0.523578	4.96959	4	30.7256	-9999	-9999	-9999
2002	3	20	15.4503	4.04861	6.6933	2.4955	2.02739	4.16674	0	30.2267	-9999	-9999	-9999
2002	3	21	14.8288	3.21631	5.6183	1.661	2.01128	3.79384	0	29.7378	-9999	-9999	-9999
2002	3	22	10.7178	2.66004	4.1063	1.3711	1.07106	3.62666	0.4	29.5358	-9999	-9999	-9999
2002	3	23	9.3303	2.58327	4.6016	0.188	1.43924	3.6339	0	29.2361	-9999	-9999	-9999
2002	3	24	17.4671	0.623894	3.8936	-2.3913	1.96572	3.05613	0	29.1144	-9999	-9999	-9999
2002	3	25	15.0505	1.3925	4.1569	-0.6052	1.63325	2.72048	0	28.9556	-9999	-9999	-9999
2002	3	26	16.8411	1.58579	4.1386	-0.1068	1.91814	2.56375	0	28.9247	-9999	-9999	-9999
2002	3	27	14.5426	3.50761	6.5444	0.1108	1.33506	2.92302	0	28.7736	-9999	-9999	-9999
2002	3	28	15.3591	3.95939	8.347	0.137	0.962945	3.50612	0	28.6017	-9999	-9999	-9999
2002	3	29	16.8725	7.52453	11.994	3.4339	3.59343	3.84117	0	28.5448	-9999	-9999	-9999
2002	3	30	15.5655	8.63873	13.3646	4.7391	4.07157	4.44845	0	28.4614	-9999	-9999	-9999
2002	3	31	13.0097	8.29209	13.1229	3.7806	3.32956	4.86076	0	28.3808	-9999	-9999	-9999
2002	4	1	13.4076	10.4053	13.9311	6.4822	3.90375	5.6697	0	28.3122	-9999	-9999	-9999
2002	4	2	14.8631	10.7417	15.3269	6.5877	5.27246	6.21674	0	28.2589	-9999	-9999	-9999
2002	4	3	16.9625	6.11975	10.2405	2.0208	3.44559	5.7017	0	28.246	-9999	-9999	-9999
2002	4	4	18.6252	5.10295	8.6469	1.8867	3.33353	5.14737	0	28.2545	-9999	-9999	-9999
2002	4	5	13.732	3.43638	5.9242	1.1391	2.60165	4.91021	0	28.2081	-9999	-9999	-9999
2002	4	6	18.8994	3.40333	6.7226	0.1478	2.81542	4.1193	0	28.2272	-9999	-9999	-9999
2002	4	7	5.27665	3.70836	7.4053	1.118	0.898211	4.32395	2.8	28.193	-9999	-9999	-9999
2002	4	8	15.1862	2.37187	5.221	-0.0182	1.62502	4.13316	0	28.1976	-9999	-9999	-9999
2002	4	9	18.9883	4.11409	7.2641	0.4372	3.26076	3.9061	0	28.1897	-9999	-9999	-9999
2002	4	10	19.4596	6.1662	10.3965	1.6791	4.82952	4.25355	0	28.1826	-9999	-9999	-9999
2002	4	11	6.76753	6.17827	10.3309	2.3736	3.11312	4.3878	0.2	28.1226	-9999	-9999	-9999
2002	4	12	7.50179	7.48309	9.9431	5.2688	1.79249	5.41991	0	27.9638	-9999	-9999	-9999
2002	4	13	2.92577	5.53235	6.678	3.9466	-0.0368458	5.42978	2.2	27.8163	-9999	-9999	-9999
2002	4	14	3.09942	6.8976	7.8884	5.9161	0.53215	5.72335	0	27.651	-9999	-9999	-9999
2002	4	15	2.94223	6.75751	7.8879	5.436	0.953154	5.92882	0.2	27.4983	-9999	-9999	-9999
2002	4	16	2.91906	4.32731	6.1064	3.3976	1.16108	5.55523	0.4	27.5138	-9999	-9999	-9999
2002	4	17	1.80459	3.53526	4.343	2.5998	-0.0353693	5.2428	2.2	27.8123	-9999	-9999	-9999
2002	4	18	2.48796	4.18174	5.0693	3.6486	-0.111899	5.30172	0.6	27.78	-9999	-9999	-9999
2002	4	19	9.38907	5.59284	7.2691	4.1161	0.813497	5.76221	0	27.6097	-9999	-9999	-9999
2002	4	20	15.3419	7.8857	13.6068	1.6347	1.93859	6.252	0	27.5534	-9999	-9999	-9999
2002	4	21	16.4248	10.8553	14.8927	6.6041	3.82381	6.57886	0	27.6013	-9999	-9999	-9999
2002	4	22	17.1899	11.4455	14.7845	7.2295	4.84267	7.15682	0	27.6023	-9999	-9999	-9999
2002	4	23	10.4991	10.5096	13.0506	8.1612	2.71859	7.7987	0.2	27.4701	-9999	-9999	-9999
2002	4	24	6.03338	10.2228	12.2004	8.2764	1.34623	7.89382	0	27.5104	-9999	-9999	-9999
2002	4	25	17.1859	10.6468	12.218	8.9506	1.89083	8.17037	0	27.5133	-9999	-9999	-9999
