Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI 	ET	LITTERFALL
2000	2	16	5.129896	2.240960	6.475550	0.903016	0.491059	-9999	0.293483	-9999	-9999	-9999	-9999
2000	2	17	6.688120	3.298390	6.149990	0.525605	1.343271	-9999	0.000000	-9999	-9999	-9999	-9999
2000	2	18	7.263743	2.403800	4.752740	0.444185	1.001486	-9999	0.002519	-9999	-9999	-9999	-9999
2000	2	19	6.223737	1.788570	3.512480	-0.406310	0.471116	-9999	0.196780	-9999	-9999	-9999	-9999
2000	2	20	6.746121	1.043690	3.249170	-1.615020	0.144751	-9999	0.005033	-9999	-9999	-9999	-9999
2000	2	21	8.253593	1.001270	4.478480	-3.451290	1.850128	-9999	0.000279	-9999	-9999	-9999	-9999
2000	2	22	8.573654	2.936970	6.962790	-0.858245	4.072312	-9999	0.000000	-9999	-9999	-9999	-9999
2000	2	23	7.504963	0.107415	3.691920	-3.979310	1.065044	-9999	1.160190	-9999	-9999	-9999	-9999
2000	2	24	5.330534	-3.545940	-0.679114	-6.046570	0.481801	-9999	1.579420	-9999	-9999	-9999	-9999
2000	2	25	2.707258	-4.397650	-1.922890	-6.570100	0.472724	-9999	3.279800	-9999	-9999	-9999	-9999
2000	2	26	4.318065	-2.133430	1.048520	-6.955630	0.303828	-9999	6.751310	-9999	-9999	-9999	-9999
2000	2	27	1.941088	-0.385627	1.802910	-2.808470	0.218286	-9999	4.504430	-9999	-9999	-9999	-9999
2000	2	28	9.247306	0.171776	2.961820	-1.829160	0.531398	-9999	5.017370	-9999	-9999	-9999	-9999
2000	2	29	6.478065	0.075463	2.396200	-2.399780	93.649000	-9999	13.024700	-9999	-9999	-9999	-9999
2000	3	1	4.967594	-5.603210	3.576990	-11.345600	0.587205	-9999	12.448200	-9999	-9999	-9999	-9999
2000	3	2	5.126095	-5.926540	-3.429730	-11.072400	0.537947	-9999	13.830400	-9999	-9999	-9999	-9999
2000	3	3	5.466537	-4.559230	-2.245770	-6.732840	0.571270	-9999	11.696500	-9999	-9999	-9999	-9999
2000	3	4	7.609905	-0.897732	2.922540	-6.905600	0.614360	-9999	8.061210	-9999	-9999	-9999	-9999
2000	3	5	9.640599	2.156130	5.048760	-0.744192	0.753854	-9999	2.197860	-9999	-9999	-9999	-9999
2000	3	6	10.448266	2.382970	6.434320	-1.222740	1.106648	-9999	0.000000	-9999	-9999	-9999	-9999
2000	3	7	9.580378	2.212710	5.131550	-0.819113	0.780757	-9999	2.033340	-9999	-9999	-9999	-9999
2000	3	8	8.767872	2.750860	5.866930	-0.649313	0.739204	-9999	0.121436	-9999	-9999	-9999	-9999
2000	3	9	5.143902	1.923830	4.390220	0.185496	0.460427	-9999	6.878720	-9999	-9999	-9999	-9999
2000	3	10	7.039112	2.586060	4.707850	-0.596975	0.455060	-9999	9.697580	-9999	-9999	-9999	-9999
2000	3	11	5.634170	2.414370	4.780480	0.215861	0.483961	-9999	2.338610	-9999	-9999	-9999	-9999
2000	3	12	12.023337	2.156590	6.007220	-1.721180	1.034241	-9999	0.000000	-9999	-9999	-9999	-9999
2000	3	13	10.869034	3.037420	6.001490	-0.497183	1.256527	-9999	1.647070	-9999	-9999	-9999	-9999
2000	3	14	11.998713	3.497170	6.760310	0.938852	0.806814	-9999	0.537233	-9999	-9999	-9999	-9999
2000	3	15	11.243751	3.865910	6.043080	0.994791	0.858307	-9999	0.000002	-9999	-9999	-9999	-9999
2000	3	16	7.628982	5.546270	7.298360	2.170300	1.134548	-9999	0.139123	-9999	-9999	-9999	-9999
2000	3	17	10.229846	4.869300	7.026180	2.818740	0.551300	-9999	1.431530	-9999	-9999	-9999	-9999
2000	3	18	12.733718	4.367590	7.435600	-0.389730	1.025769	-9999	0.653194	-9999	-9999	-9999	-9999
2000	3	19	8.615609	3.146980	6.125390	-0.458639	0.740725	-9999	0.507272	-9999	-9999	-9999	-9999
