"esm_id","esm_name"
"1","hadgem2-es"
"2","ipsl-cm5a-lr"
"3","miroc-esm-chem"
"4","gfdl-esm2m"
"5","noresm1-m"
"6","miroc5"
"7","princeton"
"8","gswp3"
"9","watch"
"10","watch-wfdei.gpcc"
"hist","localclim"

