Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1	1	0.96	-1.77	-0.88	-2.83	0	3.74	0	-9999	0	-9999	-9999
1	2	2.73	-2.98	-0.09	-6.56	0.03	3.61	0.6	-9999	0	-9999	-9999
1	3	4.57	-1.69	-0.39	-4.09	0	3.33	0	-9999	0	-9999	-9999
1	4	4.62	-2.91	1.43	-6.13	0	2.86	0	-9999	0	-9999	-9999
1	5	4.13	-0.53	3.85	-4.23	0.68	2.43	0.7	-9999	0	-9999	-9999
1	6	0.71	1.33	3.7	-0.42	0.14	2.38	0.9	-9999	0	-9999	-9999
1	7	1.45	3.19	3.94	2.32	0.23	2.56	0	-9999	0	-9999	-9999
1	8	2.09	2.42	3.02	1.9	0.4	2.72	0	-9999	0	-9999	-9999
1	9	4.24	2.09	5.64	0.03	0.78	2.76	0	-9999	0	-9999	-9999
1	10	3.02	1.47	3.78	-0.91	0.72	2.58	0	-9999	0	-9999	-9999
1	11	0.76	2.9	5.1	0.6	0.47	2.65	0.3	-9999	0	-9999	-9999
1	12	1.62	3.32	5.1	1.7	0.58	3.25	0	-9999	0	-9999	-9999
1	13	4.08	2.99	7.1	-0.4	1.2	3.06	0	-9999	0	-9999	-9999
1	14	1.04	4.11	5.4	2.8	0.13	4.03	0.5	-9999	0	-9999	-9999
1	15	0.5	4.12	5.6	2.9	0	4.54	5.2	-9999	0	-9999	-9999
1	16	2.49	4.61	6.2	3.6	0.35	4.67	0.1	-9999	0	-9999	-9999
1	17	2.06	5.04	6.4	4	0.49	4.82	2.1	-9999	0	-9999	-9999
1	18	1.57	4.4	5.5	3.9	0.15	5.21	1.3	-9999	0	-9999	-9999
1	19	2.46	7.83	9.9	6	1.38	5.64	1.8	-9999	0	-9999	-9999
1	20	1.19	8.27	10.9	5.6	0.85	5.87	7.4	-9999	0	-9999	-9999
1	21	1.31	10.81	12	6.9	1.03	7.2	0.3	-9999	0	-9999	-9999
1	22	1.54	7.55	9.3	5.7	1.25	6.37	0.2	-9999	0	-9999	-9999
1	23	1.28	6.8	9.4	5.1	0.99	6.43	0	-9999	0	-9999	-9999
1	24	1.44	8.74	10.5	5.8	1.16	6.88	2.8	-9999	0	-9999	-9999
1	25	4.11	5.64	9.5	3	1.24	5.99	2	-9999	0	-9999	-9999
1	26	1.3	10.67	11.6	9.9	1.75	6.97	9.7	-9999	0	-9999	-9999
1	27	-0.04	10.92	12.6	10.1	1.94	7.23	2.6	-9999	0	-9999	-9999
1	28	-0.04	11.87	13.4	9.8	2.57	7.33	0	-9999	0	-9999	-9999
1	29	1.74	8.89	10.75	6.5	2.83	7.61	0	-9999	0	-9999	-9999
1	30	2.92	9.94	12	7.42	2.76	7.72	0	-9999	0	-9999	-9999
1	31	6.29	9.27	11.05	7.76	3.34	7.69	1.5	-9999	0	-9999	-9999
2	1	1.97	10.44	12.49	7.94	2.42	7.66	0	-9999	0	-9999	-9999
2	2	6.95	12.03	14.76	9.69	5.93	7.83	0	-9999	0	-9999	-9999
2	3	4.07	11.34	14.58	7.86	6.42	7.26	0	-9999	0	-9999	-9999
2	4	2.83	8.67	11.78	6.26	2.57	7.67	2.5	-9999	0	-9999	-9999
2	5	1.36	10.31	12.18	7.69	1.26	8.29	9.3	-9999	0	-9999	-9999
2	6	2.73	6.95	8.25	5.73	1.48	7.57	2.3	-9999	0	-9999	-9999
2	7	3.51	6.19	7.18	4.86	1.24	7.13	4.5	-9999	0	-9999	-9999
2	8	2.54	9.72	12.05	5.84	0.55	7.7	0.5	-9999	0	-9999	-9999
2	9	1.94	10.44	12.08	8.28	1.61	8.57	2.3	-9999	0	-9999	-9999
2	10	3.28	8.41	9.61	7.16	2.02	7.74	0.3	-9999	0	-9999	-9999
2	11	1.01	10.52	12.18	8.79	0.92	8.3	6.5	-9999	0	-9999	-9999
2	12	3.25	11.24	12.73	8.05	2.26	9.07	3.8	-9999	0	-9999	-9999
2	13	3.21	7.95	9.4	5.48	1.2	8.57	1.2	-9999	0	-9999	-9999
2	14	9.44	2.98	5.38	0.04	1.79	6.97	0	-9999	0	-9999	-9999
2	15	9.59	1.11	6.24	-2.26	1.71	5.38	0	-9999	0	-9999	-9999
2	16	10.02	2.61	8.43	-1.08	2.46	4.89	0	-9999	0	-9999	-9999
