Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1	1	1.7	8.23	12.49	5.7	2.67	7.61	1.21	-9999	0	-9999	-9999
1	2	1.03	5.67	7.15	3.55	1.18	6.92	0	-9999	0	-9999	-9999
1	3	1.32	6.76	8.58	4.75	1.41	6.88	0	-9999	0	-9999	-9999
1	4	1.07	9.27	9.82	7.77	2.53	7.57	0	-9999	0	-9999	-9999
1	5	0.89	8.68	9.8	7.79	1.41	7.74	0	-9999	0	-9999	-9999
1	6	0.71	8.53	10.52	6.49	0.83	7.92	0.12	-9999	0	-9999	-9999
1	7	1.31	7.83	8.75	6.73	1.7	7.8	0.12	-9999	0	-9999	-9999
1	8	2.55	9.15	11.33	8.24	1.53	7.89	0.12	-9999	0	-9999	-9999
1	9	1.47	12.97	13.76	11.63	4.22	8.79	17.18	-9999	0	-9999	-9999
1	10	0.95	10.58	13.25	6.63	3.13	8.86	0.24	-9999	0	-9999	-9999
1	11	0.25	7.47	10.26	4.93	2.14	7.57	18.51	-9999	0	-9999	-9999
1	12	1.33	9.69	12.25	7.29	2.5	7.83	0	-9999	0	-9999	-9999
1	13	0.91	10.57	12.01	9.77	2	8.19	0	-9999	0	-9999	-9999
1	14	4.55	7.74	11.12	6.37	2.92	7.79	0	-9999	0	-9999	-9999
1	15	4.69	6.01	7.91	4.14	2.62	7.68	0	-9999	0	-9999	-9999
1	16	3.67	6.6	7.13	5.58	2.13	8.03	-9999	-9999	0	-9999	-9999
1	17	3.66	6.59	10.5614	6.38714	2.13	7.83	-9999	-9999	0	-9999	-9999
1	18	3.66	6.59	8.85768	5.29339	2.13	7.58	-9999	-9999	0	-9999	-9999
1	19	2.48	6.53	8.24657	4.48784	1.7	7.97	-9999	-9999	0	-9999	-9999
1	20	3.17	5	7.68257	4.02484	1.94	8.08	-9999	-9999	0	-9999	-9999
1	21	2.98	4.21	7.29257	3.61393	1.68	7.56	-9999	-9999	0	-9999	-9999
1	22	2.6	2.05	7.15257	3.64309	1.59	7.91	-9999	-9999	0	-9999	-9999
1	23	1.88	-1.07	7.18949	3.82771	1.61	8.18	-9999	-9999	0	-9999	-9999
1	24	1.88	-1.07	7.20306	3.83342	1.61	7.83	-9999	-9999	0	-9999	-9999
1	25	1.91	-1.06	-0.38	-2.12	1.61	7.19	-9999	-9999	0	-9999	-9999
1	26	1.29	0.72	4.76	-2.32	1.05	6.46	0.12	-9999	0	-9999	-9999
1	27	3.38	4.73	6.61	2.66	1.2	6.25	0.85	-9999	0	-9999	-9999
1	28	0.91	6.02	7.72	5.25	1.62	6.77	0.36	-9999	0	-9999	-9999
1	29	2.17	7.61	9.44	6.72	0.85	7.18	0	-9999	0	-9999	-9999
1	30	1.88	7.41	8.39	6.54	0.78	7.32	0	-9999	0	-9999	-9999
1	31	4.84	6.54	7.32	5.66	1.68	7.22	0.24	-9999	0	-9999	-9999
2	1	1.18	8.24	9.87	6.85	0.3	7.52	0.48	-9999	0	-9999	-9999
2	2	1.88	7.15	9.7	4.86	0.89	7.37	0.12	-9999	0	-9999	-9999
2	3	6.91	5.67	10.1	3.24	1.95	6.47	0	-9999	0	-9999	-9999
2	4	5.23	4.36	7.76	1.97	1.02	6.28	0	-9999	0	-9999	-9999
2	5	2.32	2.17	5.35	-1.45	0.43	6.21	0	-9999	0	-9999	-9999
2	6	2.99	1.86	4.08	-0.11	0.8	6.09	0.12	-9999	0	-9999	-9999
2	7	3.47	-1.01	0.58	-1.89	0.04	7.01	0	-9999	0	-9999	-9999
2	8	1.44	0.66	5.71	-3.55	0.31	7.13	0.24	-9999	0	-9999	-9999
2	9	4.73	3.79	5.65	1.84	1.55	6.5	0.61	-9999	0	-9999	-9999
2	10	2.08	4.67	8.23	1.56	0.76	6.27	0	-9999	0	-9999	-9999
2	11	2.69	8.01	9.62	6.74	1.47	7.3	0	-9999	0	-9999	-9999
2	12	3.27	7.7	10.72	6.08	1.24	7.61	0	-9999	0	-9999	-9999
2	13	2.46	7.88	8.88	6.32	2.52	7.83	0.97	-9999	0	-9999	-9999
2	14	1.08	5.58	7.03	4.67	0.44	7.46	0.12	-9999	0	-9999	-9999
2	15	8.65	6.87	10.36	3.13	2.62	7.32	11.98	-9999	0	-9999	-9999
2	16	7.79	8.64	15.26	4.24	5.88	7.17	0	-9999	0	-9999	-9999
2	17	5.77	8.17	13.06	4.43	4.84	7.33	0	-9999	0	-9999	-9999
2	18	4.05	5.8	7.04	4.63	1.25	7.35	0	-9999	0	-9999	-9999
2	19	2.29	5.62	6.99	4.29	1.19	7.57	0	-9999	0	-9999	-9999
