year,mo,day,neeCutRef_gCm2d1,neeVutRef_gCm2d1,neeCutRef_qc,neeVutRef_qc,neeCutRefJointunc_gCm2d1,neeVutRefJointunc_gCm2d1,recoNtVutRef_gCm2d1,recoNtVutSe_gCm2d1,recoNtCutRef_gCm2d1,recoNtCutSe_gCm2d1,recoDtVutRef_gCm2d1,recoDtVutSe_gCm2d1,recoDtCutRef_gCm2d1,recoDtCutSe_gCm2d1,gppNtVutRef_gCm2d1,gppNtVutSe_gCm2d1,gppNtCutRef_gCm2d1,gppNtCutSe_gCm2d1,gppDtVutRef_gCm2d1,gppDtVutSe_gCm2d1,gppDtCutRef_gCm2d1,gppDtCutSe_gCm2d1
1996,1,1,-5.18599114148466,-5.18599114148466,3.11317344,3.11317344,NA,NA,2.1508139165526,0.03403234727568,2.3667611379516,0.03539985194772,2.7381391643502,0.015860263149198,2.7381391643502,0.03679745062968,7.23249850621896,0.046242855599382,7.23161983463478,0.060741671793192,0.39102465863916,0.0030511979397432,0.43535101656384,0.0038330751244734
1996,1,2,-4.74206581830852,-4.74206581830852,3.11317344,3.11317344,NA,NA,2.2781827058796,0.033587837994672,2.4815777849226,0.035105551123266,2.8276487379504,0.016378731918666,2.8276487379504,0.038000352741858,6.91594259932836,0.05383469223639,6.91807473398808,0.085812180735294,0.15822773190432,0.0013655853141372,0.17810246895714,0.0016675328708532
1996,1,3,-5.40244416709062,-5.40244416709062,3.11317344,3.11317344,NA,NA,2.0256842339838,0.034438655324268,2.2534956728856,0.035657181675648,2.6492818438242,0.015345573426378,2.6492818438242,0.035603304317802,7.37695349396694,0.055541225819898,7.32021817804524,0.079680530537946,0.17948311813926,0.001539846926982,0.2018918918952,0.0018832943828088
1996,1,4,-5.18599114148466,-5.18599114148466,3.11317344,3.11317344,NA,NA,1.25374589869932,0.033595469593452,1.5153012839484,0.033961325844654,2.0198018495304,0.0116994151809756,2.0198018495304,0.027143808947658,6.33543773081778,0.045226674711972,6.33276014222826,0.059373963900108,0.42118251023394,0.0032486749625538,0.46836555069798,0.0040953813898608
1996,1,5,-4.74206581830852,-4.74206581830852,3.11317344,3.11317344,NA,NA,1.74620924946,0.034805618481582,1.9934985606588,0.035691783301278,2.4367621399056,0.014114594381238,2.4367621399056,0.032747291975502,6.38396827813836,0.054268592946516,6.37751466959724,0.085953272349906,0.22015301062014,0.001866914982855,0.2473169838516,0.0022904899020198
1996,1,6,-5.40244416709062,-5.40244416709062,3.11317344,3.11317344,NA,NA,2.0678815704222,0.034247506475052,2.2909493112948,0.035515664161614,2.6777784066228,0.015510642962256,2.6777784066228,0.03598625275596,7.41914747942004,0.055524326044356,7.36368019795512,0.07974085692105,0.16801578701154,0.001455602075577,0.18920179704114,0.0017756646264396
1996,1,7,-5.18599114148466,-5.18599114148466,3.11317344,3.11317344,NA,NA,2.2374591543954,0.033724292278014,2.4447604013352,0.035193359909682,2.7988235623998,0.016211777183316,2.7988235623998,0.0376129723554,7.31914268471802,0.04586683829598,7.3203632648991,0.06047784763956,0.2111407194195,0.0017991917861346,0.23732095146318,0.0022045088078442
1996,1,8,-4.74206581830852,-4.74206581830852,3.11317344,3.11317344,NA,NA,2.1165119338662,0.034144959839094,2.335740526548,0.035471839759668,2.7138330627174,0.015719489337708,2.7138330627174,0.036470796582636,6.75427338390168,0.054163227159054,6.75263375760402,0.086013743582052,0.57068473042152,0.0041928730104456,0.63150794573958,0.0053663599574676
1996,1,9,-5.40244416709062,-5.40244416709062,3.11317344,3.11317344,NA,NA,2.3845760567694,0.033149583165582,2.576176964712,0.034784431606782,2.8999111145004,0.016797317545008,2.8999111145004,0.038971468281798,7.73584257110652,0.054666588389634,7.6879817019837,0.079256427676452,0.04635015847254,0.0004202801439408,0.05247100336374,0.00050671982585952
1996,1,10,-5.18599114148466,-5.18599114148466,3.11317344,3.11317344,NA,NA,2.36230411131,0.033242150351124,2.5563858293376,0.03485249552304,2.8848074670792,0.016709815752084,2.8848074670792,0.038768485049658,7.44398937117342,0.04553392331124,7.44859457622306,0.060211835616816,0.2115258665364,0.0017965211589468,0.23766595161426,0.002203206896007
1996,1,11,-4.74206581830852,-4.74206581830852,3.11317344,3.11317344,NA,NA,2.2328827894386,0.03375399930318,2.4408568277496,0.035218436089356,2.796038353134,0.016195640567652,2.796038353134,0.037575529959006,6.87064155868584,0.05396858031357,6.87164588140914,0.085878979924842,0.1271554072308,0.0011195056005354,0.14345321609736,0.0013599182575134
1996,1,12,-5.40244416709062,-5.40244416709062,3.11317344,3.11317344,NA,NA,2.2763682013878,0.03356648465157,2.479398347322,0.035078548667526,2.8253315856636,0.016365321491688,2.8253315856636,0.037969195064346,7.62763854233394,0.054896649744924,7.5768527602872,0.079369861771746,0.16631618888664,0.0014441263561764,0.18733581709128,0.0017606132976276
1996,1,13,-5.18599114148466,-5.18599114148466,3.11317344,3.11317344,NA,NA,2.1499212573072,0.034029685944774,2.3658338878902,0.035395158406374,2.7372737453724,0.015855253966656,2.7372737453724,0.036785802172392,7.2316084196655,0.0462494343402,7.23076859789154,0.060751339926264,0.18764797758642,0.0016205697847404,0.2112336822375,0.0019785386813166
