daily output file at cell level

Daily summary output from 3D-CMCC version 'f', time 'd', spatial 'u'


Cell 0, 0, Lat = 51.18, Long  = 4.31


Daily GPP = daily total gross primary production (gC/m2/day)
Daily NPP = daily total net primary production (tDM/m2/day)
Daily ET = daily canopy transpiration(mm/day)
Daily LAI = daily Leaf Area Index (m^2/m^2)
Daily F_SW = Daily Soil water modifier
Daily F_PSI = Daily Soil water modifier-BIOME
Daily F_T = Daily temperature modifier
Daily F_PSI = Daily VPD modifier



-YEAR      MONTH        DAY        GPP        NPP         ET        LAI       F_SW      F_PSI        F_T      F_VPD

-2001          1          1          0          0          0          0    0.68678          0    0.413998    0.968991
-2001          1          2          0          0          0          0   0.686738          0    0.597137    0.888252
-2001          1          3          0          0          0          0   0.705336          0    0.499766    0.924964
-2001          1          4          0          0          0          0   0.728873          0    0.491177    0.953134
-2001          1          5          0          0          0          0    0.82053          0     0.54292    0.960309
-2001          1          6          0          0          0          0   0.832141  0.0120277    0.416836    0.972388
-2001          1          7          0          0          0          0   0.833296  0.0332376    0.369307    0.966088
-2001          1          8          0          0          0          0   0.837415    0.10588    0.285942    0.986098
-2001          1          9          0          0          0          0   0.840222   0.152845     0.29294    0.990545
-2001          1         10          0          0          0          0   0.857669   0.404345     0.14509       0.999
-2001          1         11          0          0          0          0    0.87885   0.635381    0.150991    0.974335
-2001          1         12          0          0          0          0   0.878762   0.634557    0.155445    0.959829
-2001          1         13          0          0          0          0   0.878521   0.632297   0.0769085    0.988072
-2001          1         14          0          0          0          0   0.878272   0.629949   0.0450637    0.986591
-2001          1         15          0          0          0          0   0.878112   0.628445           0           1
-2001          1         16          0          0          0          0   0.877856   0.626015           0    0.997503
-2001          1         17          0          0          0          0    0.87761   0.623671           0           1
-2001          1         18          0          0          0          0   0.877448   0.622131           0           1
-2001          1         19          0          0          0          0   0.877386   0.621542   0.0452911    0.992032
-2001          1         20          0          0          0          0   0.877286   0.620578   0.0268108    0.997005
-2001          1         21          0          0          0          0   0.877191   0.619668   0.0216065    0.998501
-2001          1         22          0          0          0          0    0.89257   0.752468    0.408963     0.99104
-2001          1         23          0          0          0          0   0.900664    0.81202    0.580154    0.949329
-2001          1         24          0          0          0          0   0.916427   0.911282    0.634701    0.900325
-2001          1         25          0          0          0          0   0.917656   0.918206     0.42383    0.955042
-2001          1         26          0          0          0          0   0.917849   0.919287    0.384558    0.928672
-2001          1         27          0          0          0          0   0.943382          1    0.312685    0.954087
-2001          1         28          0          0          0          0   0.943538          1    0.311933    0.970446
-2001          1         29          0          0          0          0   0.943345          1    0.266166    0.980199
-2001          1         30          0          0          0          0   0.943261          1     0.22148    0.977751
-2001          1         31          0          0          0          0   0.943191          1    0.123239    0.994018
-2001          2          1          0          0          0          0   0.943073          1           0           1
-2001          2          2          0          0          0          0   0.943008          1   0.0251426    0.997503
-2001          2          3          0          0          0          0    0.96277          1     0.38339    0.991536
-2001          2          4          0          0          0          0    0.97708          1    0.506044    0.968507
-2001          2          5          0          0          0          0   0.980855          1    0.579961    0.929601
-2001          2          6          0          0          0          0    0.98171          1    0.692785    0.872843
-2001          2          7          0          0          0          0   0.984469          1    0.635893    0.902127
-2001          2          8          0          0          0          0   0.988818          1    0.599989     0.90801
-2001          2          9          0          0          0          0   0.988784          1    0.352054     0.90529
-2001          2         10          0          0          0          0   0.988989          1    0.309094    0.936599
-2001          2         11          0          0          0          0   0.988955          1    0.632013    0.926816
-2001          2         12          0          0          0          0   0.992541          1    0.669007    0.918972
-2001          2         13          0          0          0          0   0.992507          1    0.440253    0.936599
-2001          2         14          0          0          0          0    0.99245          1    0.305061    0.970446
-2001          2         15          0          0          0          0   0.992387          1    0.571029    0.862431
-2001          2         16          0          0          0          0   0.992299          1    0.310427    0.980689
-2001          2         17          0          0          0          0   0.992276          1     0.31601     0.93426
-2001          2         18          0          0          0          0   0.992247          1    0.330626    0.946485
-2001          2         19          0          0          0          0   0.992203          1    0.334662    0.942236
-2001          2         20          0          0          0          0    0.99216          1    0.372306    0.963194
