daily output file at cell level

Daily summary output from 3D-CMCC version 'f', time 'd', spatial 'u'


Cell 0, 0, Lat = 51.18, Long  = 4.31


Daily GPP = daily total gross primary production (gC/m2/day)
Daily NPP = daily total net primary production (tDM/m2/day)
Daily ET = daily canopy transpiration(mm/day)
Daily LAI = daily Leaf Area Index (m^2/m^2)
Daily F_SW = Daily Soil water modifier
Daily F_PSI = Daily Soil water modifier-BIOME
Daily F_T = Daily temperature modifier
Daily F_PSI = Daily VPD modifier



-YEAR    MONTH      DAY   GPP(0) GPP(tot)   NPP(0) NPP(tot)    ET(0)  ET(tot)   LAI(0)    CC(0) DEADTREE(0) DEADTREE(tot)

-2001        1        1    0.247    0.247  0.00237  0.00237   0.0333   0.0333     4.28     52.9        0        0 
-2001        1        2    0.597    0.597  0.00573  0.00573   0.0589   0.0589     3.85     58.8        0        0 
-2001        1        3    0.722    0.722  0.00693  0.00693   0.0801   0.0801     3.85     58.8        0        0 
-2001        1        4    0.234    0.234  0.00225  0.00225   0.0261   0.0261     3.85     58.8        0        0 
-2001        1        5    0.196    0.196  0.00188  0.00188   0.0202   0.0202     3.85     58.8        0        0 
-2001        1        6    0.603    0.603  0.00579  0.00579   0.0728   0.0728     3.85     58.8        0        0 
-2001        1        7    0.339    0.339  0.00325  0.00325   0.0441   0.0441     3.85     58.8        0        0 
-2001        1        8     0.38     0.38  0.00365  0.00365   0.0576   0.0576     3.84     58.8        0        0 
-2001        1        9    0.326    0.326  0.00313  0.00313   0.0487   0.0487     3.84     58.8        0        0 
-2001        1       10    0.229    0.229   0.0022   0.0022   0.0503   0.0503     3.84     58.8        0        0 
-2001        1       11    0.288    0.288  0.00277  0.00277   0.0618   0.0618     3.84     58.8        0        0 
-2001        1       12    0.802    0.802   0.0077   0.0077    0.169    0.169     3.84     58.8        0        0 
-2001        1       13    0.618    0.618  0.00593  0.00593    0.176    0.176     3.84     58.8        0        0 
-2001        1       14    0.339    0.339  0.00325  0.00325    0.113    0.113     3.84     58.8        0        0 
-2001        1       15    0.393    0.393  0.00378  0.00378    0.182    0.182     3.84     58.8        0        0 
-2001        1       16    0.393    0.393  0.00378  0.00378    0.176    0.176     3.84     58.8        0        0 
-2001        1       17   0.0958   0.0958  0.00092  0.00092    0.116    0.116     3.84     58.8        0        0 
-2001        1       18    0.057    0.057 0.000547 0.000547   0.0445   0.0445     3.84     58.8        0        0 
-2001        1       19    0.219    0.219  0.00211  0.00211    0.073    0.073     3.84     58.8        0        0 
-2001        1       20    0.187    0.187   0.0018   0.0018   0.0692   0.0692     3.84     58.8        0        0 
-2001        1       21    0.211    0.211  0.00203  0.00203   0.0806   0.0806     3.84     58.8        0        0 
-2001        1       22    0.452    0.452  0.00434  0.00434   0.0546   0.0546     3.83     58.8        0        0 
-2001        1       23     1.05     1.05   0.0101   0.0101    0.104    0.104     3.83     58.8        0        0 
-2001        1       24     1.13     1.13   0.0108   0.0108    0.106    0.106     3.83     58.8        0        0 
-2001        1       25    0.552    0.552   0.0053   0.0053    0.065    0.065     3.83     58.8        0        0 
-2001        1       26    0.448    0.448   0.0043   0.0043    0.056    0.056     3.82     58.8        0        0 
-2001        1       27    0.368    0.368  0.00353  0.00353   0.0519   0.0519     3.82     58.8        0        0 
-2001        1       28     1.42     1.42   0.0137   0.0137    0.201    0.201     3.82     58.8        0        0 
-2001        1       29    0.566    0.566  0.00543  0.00543    0.088    0.088     3.82     58.8        0        0 
-2001        1       30    0.429    0.429  0.00412  0.00412   0.0743   0.0743     3.82     58.8        0        0 
-2001        1       31    0.532    0.532  0.00511  0.00511    0.124    0.124     3.82     58.8        0        0 
-2001        2        1    0.104    0.104 0.000994 0.000994   0.0698   0.0698     3.82     58.8        0        0 
-2001        2        2    0.128    0.128  0.00123  0.00123   0.0472   0.0472     3.82     58.8        0        0 
-2001        2        3    0.283    0.283  0.00271  0.00271    0.035    0.035     3.81     58.8        0        0 
-2001        2        4    0.461    0.461  0.00442  0.00442   0.0482   0.0482     3.81     58.8        0        0 
-2001        2        5    0.761    0.761   0.0073   0.0073   0.0744   0.0744     3.81     58.8        0        0 
-2001        2        6    0.878    0.878  0.00842  0.00842   0.0802   0.0802     3.81     58.8        0        0 
-2001        2        7     2.08     2.08     0.02     0.02    0.195    0.195      3.8     58.8        0        0 
-2001        2        8     0.97     0.97  0.00931  0.00931   0.0937   0.0937      3.8     58.8        0        0 
-2001        2        9     1.94     1.94   0.0186   0.0186    0.256    0.256      3.8     58.8        0        0 
-2001        2       10     1.88     1.88   0.0181   0.0181    0.267    0.267      3.8     58.8        0        0 
-2001        2       11    0.964    0.964  0.00925  0.00925   0.0905   0.0905      3.8     58.8        0        0 
-2001        2       12     1.39     1.39   0.0133   0.0133    0.127    0.127     3.79     58.8        0        0 
-2001        2       13      1.9      1.9   0.0183   0.0183    0.218    0.218     3.79     58.8        0        0 
-2001        2       14     1.74     1.74   0.0167   0.0167    0.247    0.247     3.79     58.8        0        0 
-2001        2       15     3.13     3.13     0.03     0.03    0.313    0.313     3.79     58.8        0        0 
-2001        2       16    0.646    0.646   0.0062   0.0062   0.0908   0.0908     3.79     58.8        0        0 
-2001        2       17    0.791    0.791   0.0076   0.0076    0.111    0.111     3.79     58.8        0        0 
-2001        2       18     1.25     1.25    0.012    0.012     0.17     0.17     3.79     58.8        0        0 
-2001        2       19     1.25     1.25    0.012    0.012    0.169    0.169     3.79     58.8        0        0 
-2001        2       20     1.67     1.67    0.016    0.016    0.211    0.211     3.78     58.8        0        0 
-2001        2       21    0.552    0.552   0.0053   0.0053   0.0643   0.0643     3.78     58.8        0        0 
-2001        2       22     1.91     1.91   0.0184   0.0184    0.234    0.234     3.78     58.8        0        0 
-2001        2       23     1.74     1.74   0.0167   0.0167    0.268    0.268     3.78     58.8        0        0 
-2001        2       24    0.743    0.743  0.00714  0.00714    0.376    0.376     3.78     58.8        0        0 
-2001        2       25     1.16     1.16   0.0111   0.0111    0.323    0.323     3.78     58.8        0        0 
-2001        2       26     1.01     1.01  0.00965  0.00965    0.225    0.225     3.78     58.8        0        0 
-2001        2       27    0.984    0.984  0.00945  0.00945    0.191    0.191     3.78     58.8        0        0 
-2001        2       28      1.7      1.7   0.0163   0.0163     0.23     0.23     3.78     58.8        0        0 
-2001        3        1     1.57     1.57   0.0151   0.0151    0.262    0.262     3.78     58.8        0        0 
-2001        3        2    0.683    0.683  0.00656  0.00656    0.156    0.156     3.77     58.8        0        0 
-2001        3        3     0.32     0.32  0.00307  0.00307    0.139    0.139     3.77     58.8        0        0 
-2001        3        4     0.41     0.41  0.00393  0.00393   0.0971   0.0971     3.77     58.8        0        0 
-2001        3        5    0.732    0.732  0.00703  0.00703    0.143    0.143     3.77     58.8        0        0 
-2001        3        6     3.84     3.84   0.0369   0.0369    0.455    0.455     3.77     58.8        0        0 
-2001        3        7     3.21     3.21   0.0308   0.0308    0.292    0.292     3.77     58.8        0        0 
-2001        3        8    0.829    0.829  0.00795  0.00795   0.0798   0.0798     3.77     58.8        0        0 
-2001        3        9     1.08     1.08   0.0104   0.0104    0.105    0.105     3.76     58.8        0        0 
-2001        3       10     1.24     1.24   0.0119   0.0119    0.115    0.115     3.76     58.8        0        0 
-2001        3       11      1.3      1.3   0.0125   0.0125    0.116    0.116     3.76     58.8        0        0 
-2001        3       12     3.86     3.86    0.037    0.037    0.375    0.375     3.76     58.8        0        0 
-2001        3       13     0.69     0.69  0.00663  0.00663   0.0864   0.0864     3.76     58.8        0        0 
-2001        3       14     3.54     3.54    0.034    0.034    0.398    0.398     3.75     58.8        0        0 
-2001        3       15     3.49     3.49   0.0335   0.0335    0.348    0.348     3.75     58.8        0        0 
-2001        3       16     2.25     2.25   0.0216   0.0216    0.229    0.229     3.75     58.8        0        0 
-2001        3       17     1.53     1.53   0.0147   0.0147    0.174    0.174     3.75     58.8        0        0 
-2001        3       18    0.764    0.764  0.00733  0.00733    0.105    0.105     3.75     58.8        0        0 
-2001        3       19     1.78     1.78   0.0171   0.0171    0.292    0.292     3.75     58.8        0        0 
-2001        3       20     1.41     1.41   0.0135   0.0135    0.257    0.257     3.75     58.8        0        0 
