daily output file at cell level

Daily summary output from 3D-CMCC version 'f', time 'd', spatial 'u'


Cell 1, 1, Lat = 51.18, Long  = 4.31


Daily GPP = daily total gross primary production (gC/m2/day)
Daily NPP = daily total net primary production (tDM/m2/day)
Daily ET = daily canopy transpiration(mm/day)
Daily LAI = daily Leaf Area Index (m^2/m^2)
Daily F_SW = Daily Soil water modifier
Daily F_PSI = Daily Soil water modifier-BIOME
Daily F_T = Daily temperature modifier
Daily F_PSI = Daily VPD modifier



-YEAR      MONTH        DAY        GPP        NPP         ET        LAI       F_SW      F_PSI        F_T      F_VPD

-2001          3          3   0.563503 0.00286213   0.139365    4.41587   0.990457          1    0.199276    0.997005
-2001          3          4   0.722172 0.00366803  0.0970624    4.41461   0.990714          1    0.366976    0.987084
-2001          3          5    1.29164 0.00656048   0.143162     4.4132   0.990706          1    0.451079    0.923116
-2001          3          6    6.76971  0.0343845   0.454965    4.41249   0.990646          1    0.749028     0.88692
-2001          3          7    5.66036  0.0287499    0.29243    4.41048   0.992303          1    0.970244    0.908918
-2001          3          8    1.46112 0.00742128   0.079787    4.40725   0.993703          1    0.903994    0.984127
-2001          3          9    1.91099 0.00970624   0.104569    4.40416   0.993988          1    0.910098    0.944122
-2001          3         10    2.18852  0.0111159   0.115073    4.40102   0.994796          1    0.944809    0.955997
-2001          3         11    2.29363  0.0116497   0.116124    4.39776   0.995824          1    0.982365    0.951229
-2001          3         12    6.80101  0.0345435   0.375423    4.39637    0.99638          1    0.917233    0.862431
-2001          3         13    1.21752 0.00618401  0.0864493     4.3939   0.997833          1    0.698904    0.963194
-2001          3         14    6.24405  0.0317146   0.397781    4.39285   0.998209          1    0.786263    0.916219
-2001          3         15    6.15584  0.0312666   0.348275    4.39136   0.998404          1    0.885095    0.918053
-2001          3         16    3.97535  0.0201915   0.229474     4.3892    0.99835          1    0.862236    0.948854
-2001          3         17    2.70349  0.0137315   0.173962    4.38694   0.998327          1    0.775921    0.934728
-2001          3         18    1.34719 0.00684262   0.104912     4.3848   0.999488          1    0.632776    0.997503
-2001          3         19    3.13304  0.0159132   0.291949    4.38368   0.999507          1    0.536672    0.926816
-2001          3         20    2.48462  0.0126198   0.257147    4.38254    0.99949          1    0.487691    0.882497
-2001          3         21     1.0757 0.00546365  0.0803247    4.38017   0.999709          1    0.664243    0.968507
-2001          3         22    1.69537 0.00861107   0.128934    4.37808   0.999745          1    0.650119    0.983635
-2001          3         23    1.88065 0.00955216   0.101658    4.37495    0.99993          1    0.917926    0.967539
-2001          3         24    2.84102    0.01443   0.161656    4.37236   0.999953          1    0.869946    0.979219
-2001          3         25   0.663679 0.00337094  0.0676983    4.37059   0.999955          1    0.484938    0.982652
-2001          3         26    2.07868   0.010558   0.191546    4.36908   0.999954          1    0.543979    0.919891
-2001          3         27    4.91235  0.0249506   0.354688    4.36794   0.999953          1    0.697158    0.898077
-2001          3         28     4.4822  0.0227659   0.259045    4.36596    0.99999          1    0.864628    0.934728
-2001          3         29    3.60975  0.0183345   0.224866    4.36395          1          1    0.798069    0.960309
-2001          3         30    6.33064  0.0321544   0.380525    4.36276          1          1    0.833279    0.923578
-2001          3         31    5.66154  0.0287559   0.308281    4.36092          1          1     0.93118     0.86459
-2001          4          1    8.05614  0.0409185   0.411206    4.35966          1          1    0.999836    0.832352
-2001          4          2    8.87821  0.0450939   0.514173    4.35903          1          1     0.91613    0.645003
-2001          4          3    7.40603  0.0376165   0.382986    4.35755          1          1    0.996096    0.788203
-2001          4          4    4.43808  0.0225418    0.24967    4.35542          1          1     0.89814    0.883822
-2001          4          5     6.4043  0.0325285   0.381471    4.35422          1          1    0.844448    0.904837
-2001          4          6    5.16666  0.0262423   0.269484    4.35207          1          1    0.965944    0.898077
-2001          4          7     9.3349  0.0474136   0.520187    4.35163          1          1    0.911352    0.857701
-2001          4          8    5.82392  0.0295807   0.357965    4.35033          1          1     0.81815    0.907102
-2001          4          9    2.80786  0.0142616   0.156898    4.34766          1          1    0.892068    0.951705
-2001          4         10     6.4835  0.0329308   0.363077     4.3463          1          1    0.890718    0.947906
-2001          4         11    5.28851  0.0268612   0.301065    4.34454          1          1    0.882914    0.911193
-2001          4         12    5.01817  0.0254882   0.341574    4.34328          1          1    0.739817    0.902127
-2001          4         13    4.01048  0.0203699   0.324469    4.34213          1          1    0.627263    0.865022
-2001          4         14     4.6543    0.02364   0.392899    4.34133          1          1    0.596292    0.904385
-2001          4         15     6.9399  0.0352489    0.41494    4.34037          1          1    0.833768    0.952181
-2001          4         16    5.96168  0.0302804   0.386939    4.33934          1          1    0.768342    0.950754
-2001          4         17    4.64596  0.0235976   0.317399    4.33795          1          1    0.739043    0.890921
-2001          4         18     7.7818  0.0395251   0.552865    4.33781          1          1    0.708102    0.907556
-2001          4         19    6.18465  0.0314129   0.527744    4.33761          1          1     0.58379    0.956476
-2001          4         20    4.95129  0.0251485   0.387773    4.33676          1          1    0.635916    0.957911
-2001          4         21    10.0111  0.0508482   0.645223    4.33709          1          1    0.783691    0.887808
-2001          4         22    6.89037  0.0349974   0.414302    4.33605          1          1    0.849529    0.834018
-2001          4         23    5.50316  0.0279515   0.307792    4.33421          1          1    0.925665    0.771437
-2001          4         24     6.4741  0.0328831   0.344067    4.33257          1          1    0.961785    0.832352
-2001          4         25    8.81465  0.0447711   0.456934    4.33169          1          1    0.976821    0.877218
-2001          4         26    8.84003     0.0449   0.465645    4.33086          1          1     0.96889    0.839037
-2001          4         27    4.44147   0.022559   0.240792    4.32866          1          1    0.922809    0.938005
-2001          4         28    8.80752  0.0447349    0.46193     4.3278          1          1    0.973833    0.836106
-2001          4         29    11.8306  0.0600896   0.613719    4.32791          1          1    0.996623     0.77608
-2001          4         30    6.94014  0.0352502    0.35182    4.32629          1          1    0.997744    0.884706
-2001          5          1    3.72866  0.0189385   0.192421    4.32362          1          1    0.975566    0.909828
-2001          5          2    7.61227   0.038664   0.401398    4.32231          1          1    0.983316     0.76529
-2001          5          3    8.51805  0.0432646   0.433132    4.32125          1          1    0.996633    0.875903
-2001          5          4    3.16821  0.0160919   0.189397    4.31896          1          1    0.836152    0.945067
-2001          5          5    13.2494  0.0672961   0.768977    4.32008          1          1    0.877903    0.848742
-2001          5          6    11.7793  0.0598291   0.628654    4.32033          1          1    0.960466     0.81955
-2001          5          7    12.1945  0.0619377   0.633712     4.3206          1          1    0.993223    0.785842
-2001          5          8    12.6737  0.0643718   0.659989    4.32108          1          1    0.982452    0.828615
-2001          5          9    10.5922  0.0537998   0.642989    4.32132          1          1    0.861844    0.720363
-2001          5         10    6.99351  0.0355212   0.604344    4.32124          1          1    0.626439    0.559339
-2001          5         11    7.09253  0.0360242   0.623953    4.32124          1          1    0.617037    0.546347
-2001          5         12    8.82406  0.0448189   0.649087    4.32139          1          1    0.729179    0.601999
-2001          5         13    7.26739  0.0369123   0.581513    4.32121          1          1    0.674197    0.575797
-2001          5         14    7.35767  0.0373708    0.36998    4.31974          1          1    0.999496    0.917136
-2001          5         15    12.9176  0.0656105   0.662059    4.32026          1          1    0.995208    0.843665
-2001          5         16    8.10261  0.0411545    0.41218    4.31905          1          1    0.998872    0.863726
-2001          5         17    11.8972  0.0604279   0.613418    4.31924          1          1    0.987566     0.85257
-2001          5         18    2.85281  0.0144899   0.151718    4.31643          1          1    0.935581    0.967539
-2001          5         19    14.6357   0.074337   0.755256     4.3176          1          1    0.986575    0.853423
