year,mean
2006,16.039989169863
2007,15.8666147369863
2008,16.0324465765027
2009,16.2555620657534
2010,16.0829263890411
2011,16.7495045479452
2012,16.9956632904372
2013,16.503526909589
2014,17.3353435342466
2015,17.2221082712329
2016,17.7458319398907
2017,15.7972746465753
2018,16.6067471123288
2019,16.0656920575342
2020,17.2842402459016
2021,15.876429739726
2022,16.2321898657534
2023,17.0820004383562
2024,16.3992678415301
2025,17.0356960520548
2026,16.570116139726
2027,17.4783353369863
2028,17.2640119972678
2029,18.3048101643836
2030,15.915974739726
2031,17.0290518082192
2032,17.7502358606557
2033,17.7128482191781
2034,17.3492941854795
2035,17.3358712136986
2036,18.1329100273224
2037,16.744367660274
2038,17.0868372027397
2039,18.1621815753425
2040,16.3127828797814
2041,18.0918363863014
2042,16.7053083671233
2043,17.6551269041096
2044,16.3526739016393
2045,17.9355098547945
2046,16.8873961643836
2047,18.1424736882192
2048,18.5014707923497
2049,17.3533435013699
2050,18.1200490958904
2051,20.2263460821918
2052,18.2683370327869
2053,18.8489594547945
2054,19.9685827671233
2055,19.2307021917808
2056,19.5426323497268
2057,18.5974265150685
2058,18.2046019452055
2059,19.1405934246575
2060,18.8213453278689
2061,18.8888819024658
2062,19.5685089890411
2063,19.2895467002192
2064,18.6839441448087
2065,18.2609002191781
2066,20.2394332328767
2067,18.6194422191781
2068,20.170555557377
2069,20.6868075890411
2070,19.9709428767123
2071,18.0522816986301
2072,20.4791282513661
2073,18.7978468219178
2074,19.8118587123288
2075,19.635894339726
2076,19.636625136612
2077,20.5955272876712
2078,20.955132
2079,21.1231382465753
2080,20.5902270765027
2081,20.1770911506849
2082,21.5836492054795
2083,19.8393226575342
2084,21.5262252459016
2085,21.1495919178082
2086,22.6092279452055
2087,21.5252359178082
2088,22.5414573770492
2089,21.4651103561644
2090,21.3256758630137
2091,21.1915631780822
2092,20.960591284153
2093,21.3696963013699
2094,21.9497866849315
2095,21.6942163013699
