year,mean
2006,10.2434249328219
2007,8.84754009972603
2008,9.43864101639344
2009,10.7409592986301
2010,9.75105145479452
2011,10.5316065013699
2012,10.2143733286776
2013,10.1550214060274
2014,10.8141631279452
2015,9.5952590290411
2016,9.86425927896175
2017,9.25982051506849
2018,10.0660103780822
2019,9.19349927780822
2020,10.886820295082
2021,10.2006699610959
2022,10.5652613342466
2023,9.70794033326027
2024,9.92044425136612
2025,10.269127709589
2026,9.31346287945206
2027,11.1037907506849
2028,8.78190538251366
2029,8.84549450684931
2030,10.02904644
2031,9.17939293835616
2032,9.76317965573771
2033,9.9493260630137
2034,10.2736297857534
2035,10.0871291126027
2036,11.3083755688525
2037,10.4531116279452
2038,10.4354258789041
2039,10.8285796849315
2040,9.72134707677596
2041,9.68689093287671
2042,9.71252682794521
2043,10.2466551479452
2044,10.9994156448087
2045,12.3687983342466
2046,10.3436611
2047,10.4085386876712
2048,11.3937494562842
2049,11.3394046219178
2050,10.8799694931507
2051,10.422519709589
2052,10.8551545163934
2053,10.1665150876712
2054,10.8914712378082
2055,11.9301152410959
2056,10.2569169915301
2057,11.3818088027397
2058,11.8430689720548
2059,12.0783758986301
2060,12.1095132300546
2061,11.2145884432877
2062,11.161176388
2063,11.263281509589
2064,11.3560332647541
2065,12.276338949589
2066,11.3681379106849
2067,11.6785595978082
2068,11.5054412622951
2069,12.0529289452055
2070,11.9965439
2071,12.3254053232877
2072,11.8292182904372
2073,10.8349359643836
2074,11.7310644767123
2075,11.0382310323288
2076,11.1075091065574
2077,13.0598693263014
2078,12.6931643972603
2079,11.9965934394521
2080,11.8226869699454
2081,12.2593157208219
2082,11.3329814509589
2083,11.985585830137
2084,11.9237179043716
2085,10.9974090405753
2086,12.3996556109589
2087,11.5812722493151
2088,10.6619239863388
2089,11.9449213671233
2090,12.0638097534247
2091,12.8321293369863
2092,11.6523642103825
2093,12.1139435753425
2094,10.6212277643836
2095,12.4404478493151
