year,sum
2006,1080.35442103617
2007,1188.61410536695
2008,1030.5802433894
2009,902.371263467871
2010,812.796277499324
2011,594.181664824632
2012,1093.77837530371
2013,628.581752765595
2014,688.498259742102
2015,747.859087206317
2016,774.228511314656
2017,1139.6763639794
2018,827.713301744546
2019,1068.62638790051
2020,1058.64654784357
2021,728.985468833799
2022,957.601518677247
2023,1128.67572941074
2024,977.241689587714
2025,1323.78014754294
2026,696.654208073963
2027,1051.130086669
2028,922.565316632185
2029,486.859745870085
2030,1014.77988090229
2031,858.731467686392
2032,829.272867099913
2033,1016.23788551122
2034,792.744495778941
2035,723.394602586148
2036,937.057939037744
2037,1201.23432834811
2038,702.053755635752
2039,910.927071645069
2040,1015.17042590082
2041,559.051430736474
2042,999.678262694683
2043,393.587204014573
2044,996.169581935488
2045,554.428083996117
2046,1855.16602445242
2047,494.152192428818
2048,493.476590693292
2049,949.79763425611
2050,651.914089630067
2051,547.140812860007
2052,647.208144983435
2053,699.116253129558
2054,505.040527442525
2055,469.62158892388
2056,567.851204104782
2057,611.049045684747
2058,1003.71513423916
2059,1090.33136816627
2060,694.345331916588
2061,872.218148668983
2062,631.213379240902
2063,894.707983913044
2064,1061.59305424545
2065,1199.10425155592
2066,657.511003125791
2067,1023.22941228246
2068,692.900000548436
2069,1490.6462969056
2070,559.918167762356
2071,1016.370563668
2072,782.811950923475
2073,823.968572554661
2074,1002.56935687357
2075,977.391218243714
2076,666.583992966724
2077,771.617891440124
2078,428.82761525935
2079,529.202744384722
2080,862.730184942987
2081,744.93803696079
2082,796.565883253381
2083,548.74154447758
2084,835.518913007712
2085,544.929017753049
2086,704.087677414434
2087,337.126550988093
2088,342.622574794888
2089,728.946109145465
2090,542.176962519917
2091,568.563491460441
2092,736.63620730546
2093,607.611436781101
2094,648.371123063063
2095,641.001298516575
