Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI
1	31	6.1	4.8	-9999	-9999	0.3	-9999	43.8182	-9999	0.001
2	29	9.1	4.5231	-9999	-9999	0.3	-9999	20.4472	-9999	0.001
3	31	13.15	6.36916	-9999	-9999	0.3	-9999	211.016	-9999	0.371752
4	30	17.23	9.45381	-9999	-9999	0.5	-9999	122.77	-9999	0.499816
5	31	20.79	14.2615	-9999	-9999	0.6	-9999	65.9398	-9999	2.40596
6	30	22.67	18.3615	-9999	-9999	0.7	-9999	99.8921	-9999	4.3121
7	31	22.56	21.5385	-9999	-9999	1.3	-9999	13.3533	-9999	6.21824
8	31	19.2	22.6	-9999	-9999	1.5	-9999	128.39	-9999	6.21824
9	30	14.89	15.5846	-9999	-9999	0.7	-9999	87.0751	-9999	6.21824
10	31	10.5	13.2231	-9999	-9999	0.5	-9999	67.1843	-9999	2.97496
11	30	6.61	7.43845	-9999	-9999	0.2	-9999	171.494	-9999	1.48798
12	31	5.1	3.39226	-9999	-9999	0.1	-9999	227.603	-9999	0.001
