Month	n_days	Rg_f	Ta_f	Tmax	Tmin	Rh_f	Ts_f	Precip	SWC	LAI	ET	LITTERFALL
2	19	5.254934	-4.111950	-1.537970	-8.247280	89.705700	-9999	5.844330	-9999	-9999	-9999	-9999
2	20	1.820802	-2.168250	-0.068366	-4.808560	91.211900	-9999	5.997290	-9999	-9999	-9999	-9999
2	21	7.971627	-1.169930	3.899620	-4.740720	88.792300	-9999	1.327880	-9999	-9999	-9999	-9999
2	22	4.204086	-1.047980	2.446800	-4.820650	93.199300	-9999	8.164410	-9999	-9999	-9999	-9999
2	23	3.788848	-3.093820	0.293024	-6.034670	90.440800	-9999	4.853430	-9999	-9999	-9999	-9999
2	24	5.833737	0.050621	2.963800	-6.035860	95.105200	-9999	7.099910	-9999	-9999	-9999	-9999
2	25	8.597751	1.938010	4.338220	-0.750670	87.166700	-9999	0.151114	-9999	-9999	-9999	-9999
2	26	8.319854	0.812798	3.977620	-1.744380	90.516100	-9999	0.000006	-9999	-9999	-9999	-9999
2	27	8.802951	1.112720	3.999320	-1.852320	93.303600	-9999	0.000433	-9999	-9999	-9999	-9999
2	28	9.228211	0.585381	4.006890	-1.715880	92.699200	-9999	0.000223	-9999	-9999	-9999	-9999
3	1	9.457949	2.754670	5.938350	-0.461752	86.908000	-9999	0.000210	-9999	-9999	-9999	-9999
3	2	6.929358	2.561800	5.932730	-0.777578	86.695800	-9999	0.000000	-9999	-9999	-9999	-9999
3	3	8.708170	3.378880	6.783800	0.186747	75.305900	-9999	0.000000	-9999	-9999	-9999	-9999
3	4	9.907142	3.251130	6.231620	0.495463	84.371400	-9999	0.000000	-9999	-9999	-9999	-9999
3	5	10.731399	5.417390	11.848900	1.560400	70.432100	-9999	0.000000	-9999	-9999	-9999	-9999
3	6	10.839053	6.954870	12.379400	3.571390	73.917100	-9999	0.003283	-9999	-9999	-9999	-9999
3	7	3.967410	4.591040	7.450220	2.485970	94.178500	-9999	7.596150	-9999	-9999	-9999	-9999
3	8	6.810973	3.877990	6.626880	2.130200	92.512000	-9999	6.554520	-9999	-9999	-9999	-9999
3	9	7.690870	3.579680	6.687490	1.506140	90.230100	-9999	6.943000	-9999	-9999	-9999	-9999
3	10	5.993171	1.791810	8.194570	-3.903620	87.845300	-9999	6.710710	-9999	-9999	-9999	-9999
3	11	8.664019	-9.345240	-1.614390	-14.927400	81.788900	-9999	11.334800	-9999	-9999	-9999	-9999
3	12	10.248336	-11.458100	-7.646580	-15.217500	78.893300	-9999	2.947420	-9999	-9999	-9999	-9999
3	13	10.310889	0.584415	5.459530	-13.454900	81.587500	-9999	0.042962	-9999	-9999	-9999	-9999
3	14	9.237283	5.083810	9.331320	0.564890	86.996100	-9999	0.225431	-9999	-9999	-9999	-9999
3	15	12.004502	5.886330	10.658300	2.293920	87.772900	-9999	1.480160	-9999	-9999	-9999	-9999
3	16	12.241411	7.836150	13.931000	4.541060	89.342600	-9999	0.009823	-9999	-9999	-9999	-9999
3	17	3.137123	4.336460	8.130760	2.037490	97.762600	-9999	22.425800	-9999	-9999	-9999	-9999
3	18	3.983308	1.769600	4.576040	-1.210900	95.335000	-9999	13.085800	-9999	-9999	-9999	-9999
3	19	5.783875	-0.236294	3.706320	-3.875080	92.225500	-9999	6.102140	-9999	-9999	-9999	-9999
3	20	7.549572	0.227482	4.410270	-2.666950	90.536200	-9999	2.570660	-9999	-9999	-9999	-9999
3	21	13.058669	1.846350	5.942310	-2.966760	83.883900	-9999	0.000000	-9999	-9999	-9999	-9999
3	22	14.073783	4.507720	10.535700	-0.019796	71.977000	-9999	0.000000	-9999	-9999	-9999	-9999
3	23	6.306984	4.104100	8.446130	1.115030	90.619200	-9999	3.791930	-9999	-9999	-9999	-9999
3	24	14.767920	2.303810	7.532220	-1.138720	72.604900	-9999	0.006426	-9999	-9999	-9999	-9999
3	25	14.899421	6.001740	13.584000	-0.920095	62.437700	-9999	0.000000	-9999	-9999	-9999	-9999
3	26	15.170285	7.652160	15.236800	3.536170	58.050100	-9999	0.000000	-9999	-9999	-9999	-9999
3	27	14.979513	7.917670	16.406900	3.144420	68.772400	-9999	0.000000	-9999	-9999	-9999	-9999
3	28	14.903222	7.800630	14.632200	2.803480	60.996900	-9999	0.000000	-9999	-9999	-9999	-9999
3	29	6.631865	7.312470	11.961800	3.893260	90.497900	-9999	1.341370	-9999	-9999	-9999	-9999
3	30	7.276245	5.574310	9.722340	2.821600	89.195600	-9999	0.466857	-9999	-9999	-9999	-9999
3	31	8.529529	3.920960	6.833060	1.740640	85.523800	-9999	8.214030	-9999	-9999	-9999	-9999
4	1	7.801860	2.830520	6.158880	0.085745	90.708300	-9999	3.198330	-9999	-9999	-9999	-9999
4	2	8.055340	5.409680	8.974580	1.300800	93.715300	-9999	2.196410	-9999	-9999	-9999	-9999
4	3	5.963794	6.067480	10.198500	2.761500	84.961900	-9999	0.327372	-9999	-9999	-9999	-9999
4	4	9.719741	7.413310	13.089800	3.119410	85.634000	-9999	1.503810	-9999	-9999	-9999	-9999
4	5	15.991603	10.004500	16.911600	4.509730	78.333700	-9999	0.000000	-9999	-9999	-9999	-9999
4	6	15.863990	10.832600	17.996600	4.550650	75.136200	-9999	0.122745	-9999	-9999	-9999	-9999
4	7	8.123535	9.197090	14.269000	5.502160	87.915600	-9999	3.797680	-9999	-9999	-9999	-9999
4	8	8.813837	6.774090	10.396700	4.024010	86.752600	-9999	3.437970	-9999	-9999	-9999	-9999
4	9	5.031254	4.223700	8.333770	1.395710	91.641100	-9999	6.405470	-9999	-9999	-9999	-9999
4	10	17.295551	11.148800	18.421300	1.632770	56.566400	-9999	0.000000	-9999	-9999	-9999	-9999
4	11	16.993325	16.643000	23.640400	9.809650	68.258800	-9999	0.000000	-9999	-9999	-9999	-9999
4	12	14.728521	13.376500	20.246200	8.599450	83.473100	-9999	0.247428	-9999	-9999	-9999	-9999
4	13	17.434483	11.532900	18.000300	6.308490	80.865800	-9999	0.029879	-9999	-9999	-9999	-9999
