Month	n_days		Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI
1	1	1	1.29	7.80	10.75	3.95	0.310664	-9999	5.50	-9999	-9999
1	2	2	1.02	-0.03	3.10	-1.60	0.104969	-9999	2.30	-9999	-9999
1	3	3	0.90	-0.54	0.45	-1.30	0.069797	-9999	6.40	-9999	-9999
1	4	4	1.13	3.30	5.95	0.60	0.192967	-9999	13.10	-9999	-9999
1	5	5	0.96	2.89	3.65	1.10	0.149858	-9999	6.60	-9999	-9999
1	6	6	1.14	4.70	7.75	1.60	0.117423	-9999	9.70	-9999	-9999
1	7	7	1.88	5.68	7.30	4.05	0.144794	-9999	5.90	-9999	-9999
1	8	8	6.08	6.27	7.45	4.50	0.264269	-9999	0.00	-9999	-9999
1	9	9	1.07	7.21	8.90	4.75	0.0984	-9999	16.20	-9999	-9999
1	10	10	6.22	9.89	12.55	7.40	0.18763	-9999	0.00	-9999	-9999
1	11	11	4.01	8.30	11.00	5.70	0.244836	-9999	0.50	-9999	-9999
1	12	12	2.16	4.76	8.75	2.25	0.217464	-9999	10.40	-9999	-9999
1	13	13	3.21	8.61	10.70	7.00	0.278229	-9999	0.00	-9999	-9999
1	14	14	1.04	7.41	12.30	4.55	0.227044	-9999	1.00	-9999	-9999
1	15	15	8.33	5.02	8.10	2.60	0.239772	-9999	0.00	-9999	-9999
1	16	16	6.65	5.58	8.95	3.40	0.401126	-9999	0.00	-9999	-9999
1	17	17	2.24	6.84	7.95	4.95	0.229234	-9999	0.10	-9999	-9999
1	18	18	2.37	10.99	14.10	7.80	0.397704	-9999	0.00	-9999	-9999
1	19	19	1.31	7.75	14.60	2.10	0.194941	-9999	4.38	-9999	-9999
1	20	20	5.63	8.81	11.35	7.40	0.160943	-9999	3.16	-9999	-9999
1	21	21	2.70	3.11	8.80	0.12	0.185365	-9999	3.79	-9999	-9999
1	22	22	2.42	1.40	2.40	0.25	0.228824	-9999	1.07	-9999	-9999
1	23	23	1.47	-1.20	0.30	-2.10	0.013549	-9999	2.83	-9999	-9999
1	24	24	2.45	-5.69	-2.70	-7.15	0.127003	-9999	3.98	-9999	-9999
