Month	n_days		Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI
1	1	1	4.31	-12.87	-8.12	-16.51	0.10	-9999	0.00	-9999	-9999
1	2	2	4.03	-7.18	-3.59	-12.70	0.11	-9999	0.00	-9999	-9999
1	3	3	4.08	-5.05	2.86	-8.39	0.11	-9999	0.00	-9999	-9999
1	4	4	3.25	-1.78	5.60	-8.42	0.09	-9999	3.90	-9999	-9999
1	5	5	1.87	-1.89	-1.25	-2.84	0.09	-9999	0.00	-9999	-9999
1	6	6	2.75	-3.55	-2.09	-6.61	0.08	-9999	0.00	-9999	-9999
1	7	7	4.53	-8.82	-7.04	-10.10	0.10	-9999	0.00	-9999	-9999
1	8	8	4.24	-6.68	-1.80	-9.76	0.12	-9999	0.00	-9999	-9999
1	9	9	4.54	-3.00	-0.37	-6.86	0.14	-9999	0.00	-9999	-9999
1	10	10	3.35	-4.33	-3.07	-7.00	0.08	-9999	0.50	-9999	-9999
1	11	11	1.61	-3.95	-3.64	-4.33	0.08	-9999	0.00	-9999	-9999
1	12	12	5.16	-4.68	-2.65	-5.80	0.09	-9999	0.00	-9999	-9999
1	13	13	6.08	-1.84	0.49	-4.65	0.25	-9999	0.00	-9999	-9999
1	14	14	6.13	2.02	5.75	-1.81	0.24	-9999	0.00	-9999	-9999
1	15	15	6.30	4.73	7.71	2.62	0.40	-9999	0.00	-9999	-9999
1	16	16	6.46	4.15	7.70	2.42	0.39	-9999	0.00	-9999	-9999
1	17	17	6.48	2.71	5.86	0.47	0.29	-9999	0.00	-9999	-9999
1	18	18	6.49	2.00	4.64	0.24	0.25	-9999	0.00	-9999	-9999
1	19	19	4.92	-0.25	1.10	-1.80	0.17	-9999	0.00	-9999	-9999
1	20	20	4.25	1.73	5.01	-2.01	0.14	-9999	0.40	-9999	-9999
1	21	21	3.45	0.63	1.59	-0.51	0.07	-9999	0.00	-9999	-9999
1	22	22	7.40	4.25	9.45	0.21	0.25	-9999	0.00	-9999	-9999
1	23	23	6.91	6.10	9.08	2.74	0.26	-9999	0.00	-9999	-9999
1	24	24	5.49	6.29	8.67	4.23	0.23	-9999	0.00	-9999	-9999
1	25	25	5.82	2.41	4.68	-0.88	0.11	-9999	0.00	-9999	-9999
1	26	26	3.98	3.75	6.52	1.94	0.39	-9999	0.00	-9999	-9999
1	27	27	5.14	-3.93	0.42	-5.65	0.09	-9999	0.00	-9999	-9999
1	28	28	1.71	-1.30	-0.19	-2.41	0.12	-9999	0.00	-9999	-9999
1	29	29	3.93	-2.50	-1.21	-3.50	0.13	-9999	0.00	-9999	-9999
1	30	30	7.61	-3.53	-0.34	-4.71	0.12	-9999	0.00	-9999	-9999
1	31	31	3.79	-4.54	-3.14	-5.48	0.08	-9999	0.00	-9999	-9999
2	1	32	4.92	-3.22	-2.21	-4.73	0.11	-9999	0.50	-9999	-9999
2	2	33	9.39	-4.06	0.54	-7.83	0.19	-9999	0.00	-9999	-9999
2	3	34	9.71	-1.29	2.77	-4.06	0.31	-9999	0.00	-9999	-9999
2	4	35	8.64	-2.66	1.51	-7.26	0.17	-9999	0.00	-9999	-9999
2	5	36	5.49	3.55	6.36	1.57	0.29	-9999	9.60	-9999	-9999
2	6	37	3.91	-1.54	2.06	-3.60	0.13	-9999	1.30	-9999	-9999
2	7	38	10.61	2.84	9.09	-3.73	0.34	-9999	0.00	-9999	-9999
2	8	39	9.07	5.40	8.82	3.05	0.41	-9999	0.00	-9999	-9999
2	9	40	10.35	5.23	8.66	2.49	0.35	-9999	0.00	-9999	-9999
2	10	41	10.94	7.12	11.09	3.68	0.40	-9999	0.00	-9999	-9999
2	11	42	1.61	4.37	9.72	0.25	0.21	-9999	2.60	-9999	-9999
2	12	43	1.53	5.61	7.25	3.36	0.16	-9999	26.00	-9999	-9999
