Month	n_days		Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI
1	1	1	4.67	4.92	8.32	2.37	0.34	-9999	0.00	-9999	-9999
1	2	2	5.23	3.09	6.05	1.20	0.28	-9999	0.00	-9999	-9999
1	3	3	3.54	3.14	5.08	1.02	0.17	-9999	4.50	-9999	-9999
1	4	4	2.45	5.04	8.53	2.49	0.15	-9999	12.50	-9999	-9999
1	5	5	4.81	8.71	11.35	6.97	0.25	-9999	0.00	-9999	-9999
1	6	6	5.90	9.09	12.65	7.02	0.37	-9999	0.00	-9999	-9999
1	7	7	5.76	11.27	14.16	7.69	0.47	-9999	4.10	-9999	-9999
1	8	8	1.33	3.09	5.19	0.21	0.10	-9999	23.80	-9999	-9999
1	9	9	2.35	0.16	0.85	-0.59	0.15	-9999	2.40	-9999	-9999
1	10	10	5.72	1.37	3.41	-1.76	0.24	-9999	0.20	-9999	-9999
1	11	11	4.86	5.26	8.91	0.07	0.31	-9999	0.00	-9999	-9999
1	12	12	2.98	-2.59	0.64	-5.97	0.18	-9999	0.10	-9999	-9999
1	13	13	2.76	-3.15	-1.14	-5.90	0.16	-9999	0.10	-9999	-9999
1	14	14	2.55	0.48	2.09	-1.78	0.22	-9999	2.60	-9999	-9999
1	15	15	5.29	2.20	5.26	0.53	0.34	-9999	0.00	-9999	-9999
1	16	16	5.04	6.31	10.95	0.53	0.46	-9999	0.00	-9999	-9999
1	17	17	6.85	5.01	8.02	1.26	0.43	-9999	0.00	-9999	-9999
1	18	18	5.15	-0.03	4.32	-3.38	0.23	-9999	0.00	-9999	-9999
1	19	19	6.68	3.14	7.33	0.69	0.32	-9999	0.00	-9999	-9999
1	20	20	7.09	4.27	9.07	1.49	0.34	-9999	0.00	-9999	-9999
1	21	21	7.42	2.31	5.80	0.40	0.33	-9999	0.00	-9999	-9999
1	22	22	7.72	2.51	5.63	0.55	0.35	-9999	0.00	-9999	-9999
1	23	23	7.53	1.62	4.62	-0.56	0.31	-9999	0.00	-9999	-9999
1	24	24	7.62	3.47	6.61	1.07	0.36	-9999	0.00	-9999	-9999
1	25	25	7.18	6.30	9.27	3.13	0.37	-9999	0.00	-9999	-9999
1	26	26	5.59	6.27	9.86	2.45	0.24	-9999	2.70	-9999	-9999
1	27	27	4.45	-0.11	1.44	-1.19	0.11	-9999	6.60	-9999	-9999
1	28	28	2.06	-1.66	-1.06	-2.11	0.10	-9999	15.10	-9999	-9999
1	29	29	2.14	-5.93	-1.13	-9.64	0.13	-9999	16.10	-9999	-9999
1	30	30	4.61	-11.68	-10.53	-13.00	0.16	-9999	4.10	-9999	-9999
1	31	31	6.03	-10.38	-8.97	-11.56	0.14	-9999	1.30	-9999	-9999
2	1	32	6.05	-10.35	-7.33	-13.40	0.14	-9999	0.72	-9999	-9999
2	2	33	1.71	-4.21	-1.21	-7.31	0.09	-9999	3.30	-9999	-9999
2	3	34	2.21	-0.45	0.52	-1.35	0.09	-9999	17.50	-9999	-9999
2	4	35	2.09	2.10	5.01	0.48	0.13	-9999	14.30	-9999	-9999
2	5	36	1.38	1.84	5.51	-2.21	0.18	-9999	21.60	-9999	-9999
2	6	37	1.62	-2.61	-2.05	-2.94	0.17	-9999	2.20	-9999	-9999
