Month	n_days		Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI
1	1	1	2.02	-5.23	-3.56	-7.11	0.07	-9999	14.20	-9999	-9999
1	2	2	1.56	-3.31	-2.47	-4.17	0.06	-9999	6.70	-9999	-9999
1	3	3	0.68	-4.21	-2.78	-5.62	0.07	-9999	0.20	-9999	-9999
1	4	4	2.15	-6.47	-5.31	-7.94	0.08	-9999	0.10	-9999	-9999
1	5	5	4.55	-9.49	-7.16	-11.29	0.09	-9999	0.00	-9999	-9999
1	6	6	4.55	-4.26	2.89	-10.52	0.11	-9999	0.00	-9999	-9999
1	7	7	4.39	4.81	8.62	-1.08	0.20	-9999	0.00	-9999	-9999
1	8	8	2.23	0.99	1.76	-0.67	0.07	-9999	8.60	-9999	-9999
1	9	9	6.00	0.29	4.34	-2.01	0.08	-9999	0.00	-9999	-9999
1	10	10	4.23	0.62	5.99	-2.99	0.11	-9999	0.00	-9999	-9999
1	11	11	5.39	8.46	11.76	4.80	0.29	-9999	0.00	-9999	-9999
1	12	12	6.06	8.51	13.00	6.35	0.31	-9999	0.00	-9999	-9999
1	13	13	5.85	3.94	6.55	0.88	0.15	-9999	0.00	-9999	-9999
1	14	14	6.19	3.93	7.95	-0.36	0.26	-9999	0.00	-9999	-9999
1	15	15	6.11	-1.11	1.14	-3.14	0.13	-9999	0.00	-9999	-9999
1	16	16	6.39	-2.19	-0.05	-4.90	0.19	-9999	0.00	-9999	-9999
1	17	17	6.45	0.67	5.47	-4.69	0.38	-9999	0.00	-9999	-9999
1	18	18	4.65	1.29	4.34	-0.56	0.37	-9999	0.00	-9999	-9999
1	19	19	4.11	-4.14	-0.56	-5.88	0.09	-9999	0.00	-9999	-9999
1	20	20	4.76	-6.46	-4.64	-8.40	0.08	-9999	0.00	-9999	-9999
1	21	21	6.47	-7.12	-4.64	-9.80	0.10	-9999	0.00	-9999	-9999
1	22	22	7.29	-3.78	-0.56	-6.24	0.21	-9999	0.00	-9999	-9999
1	23	23	6.95	-5.95	-2.78	-8.09	0.10	-9999	0.00	-9999	-9999
1	24	24	2.16	-7.94	-6.91	-9.02	0.08	-9999	1.20	-9999	-9999
1	25	25	3.95	-9.84	-8.56	-10.62	0.09	-9999	0.00	-9999	-9999
1	26	26	6.46	-10.71	-8.30	-12.01	0.09	-9999	0.00	-9999	-9999
1	27	27	6.09	-8.36	-6.29	-12.22	0.08	-9999	0.10	-9999	-9999
1	28	28	3.85	-6.32	-4.74	-7.22	0.07	-9999	0.60	-9999	-9999
1	29	29	4.64	-7.52	-6.49	-8.97	0.08	-9999	0.00	-9999	-9999
1	30	30	8.40	-6.21	-3.25	-8.71	0.07	-9999	0.00	-9999	-9999
1	31	31	9.05	-2.64	-1.18	-9.12	0.24	-9999	0.00	-9999	-9999
2	1	32	9.30	4.28	10.42	-1.80	0.49	-9999	0.00	-9999	-9999
2	2	33	9.14	4.61	7.84	1.19	0.31	-9999	0.00	-9999	-9999
2	3	34	1.20	1.13	5.06	-1.08	0.13	-9999	0.40	-9999	-9999
2	4	35	1.39	-2.83	-1.13	-4.84	0.06	-9999	1.40	-9999	-9999
2	5	36	4.76	-7.81	-5.00	-11.03	0.09	-9999	0.40	-9999	-9999
2	6	37	10.45	-8.93	-4.79	-11.34	0.16	-9999	0.00	-9999	-9999
2	7	38	10.42	-9.03	-5.15	-13.25	0.18	-9999	0.00	-9999	-9999
2	8	39	9.79	-9.07	-4.68	-9.54	0.15	-9999	0.00	-9999	-9999
2	9	40	7.32	-7.36	-4.84	-8.82	0.10	-9999	0.00	-9999	-9999
2	10	41	8.33	-3.17	-0.25	-9.02	0.20	-9999	0.00	-9999	-9999
2	11	42	9.89	0.12	4.03	-3.09	0.16	-9999	0.70	-9999	-9999
2	12	43	11.49	2.08	5.83	-1.44	0.25	-9999	0.00	-9999	-9999
2	13	44	5.60	1.25	3.10	-0.51	0.24	-9999	0.00	-9999	-9999
2	14	45	3.00	-1.90	-0.92	-4.23	0.08	-9999	7.40	-9999	-9999
2	15	46	4.04	-5.31	-4.38	-6.19	0.07	-9999	3.40	-9999	-9999
2	16	47	5.14	-2.16	1.96	-5.67	0.09	-9999	7.20	-9999	-9999
2	17	48	2.10	0.51	2.12	-1.03	0.12	-9999	10.30	-9999	-9999
2	18	49	6.48	0.47	2.63	-2.11	0.17	-9999	0.80	-9999	-9999
2	19	50	2.72	-1.09	0.11	-1.65	0.07	-9999	7.00	-9999	-9999
2	20	51	4.34	-1.63	-0.67	-2.47	0.08	-9999	1.50	-9999	-9999
2	21	52	3.49	-4.96	-2.47	-6.08	0.09	-9999	0.50	-9999	-9999
