Month	n_days		Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI
1	1	1	2.05	-2.57	0.95	-5.15	0.12	-9999	0.00	-9999	-9999
1	2	2	0.66	-6.53	-5.40	-7.65	0.01	-9999	0.70	-9999	-9999
1	3	3	5.20	-7.92	-6.80	-9.05	0.01	-9999	0.00	-9999	-9999
1	4	4	2.12	-7.51	-5.25	-9.60	0.16	-9999	0.00	-9999	-9999
1	5	5	3.01	-6.77	-5.20	-7.20	0.14	-9999	0.00	-9999	-9999
1	6	6	7.33	-7.67	-5.85	-8.75	0.04	-9999	0.00	-9999	-9999
1	7	7	1.36	-9.20	-8.70	-9.80	0.01	-9999	0.00	-9999	-9999
1	8	8	9.47	-7.93	-6.40	-9.25	0.09	-9999	0.00	-9999	-9999
1	9	9	8.20	-4.58	-2.20	-6.80	0.45	-9999	0.00	-9999	-9999
1	10	10	8.06	-1.76	1.25	-4.30	0.51	-9999	0.00	-9999	-9999
1	11	11	8.24	-0.42	1.65	-2.80	0.50	-9999	0.00	-9999	-9999
1	12	12	8.41	1.76	4.10	-1.00	0.51	-9999	0.00	-9999	-9999
1	13	13	8.22	3.27	5.70	-0.25	0.51	-9999	0.00	-9999	-9999
1	14	14	2.68	-0.13	2.15	-1.40	0.20	-9999	0.40	-9999	-9999
1	15	15	3.94	-1.60	-0.90	-2.25	0.05	-9999	0.00	-9999	-9999
1	16	16	9.31	-1.48	0.10	-2.50	0.12	-9999	0.00	-9999	-9999
1	17	17	7.02	1.97	3.50	-0.80	0.39	-9999	0.00	-9999	-9999
1	18	18	6.02	3.00	5.45	-0.10	0.34	-9999	1.50	-9999	-9999
1	19	19	5.69	3.57	7.00	0.60	0.35	-9999	0.00	-9999	-9999
1	20	20	1.46	2.48	8.55	-1.25	0.16	-9999	0.70	-9999	-9999
1	21	21	1.23	-0.70	5.95	-1.70	0.03	-9999	14.60	-9999	-9999
1	22	22	4.29	-1.83	-1.40	-2.30	0.01	-9999	1.10	-9999	-9999
1	23	23	6.62	2.27	9.00	-3.55	0.27	-9999	3.40	-9999	-9999
1	24	24	8.90	0.64	2.80	-1.15	0.31	-9999	0.00	-9999	-9999
1	25	25	5.88	-1.41	-0.25	-2.00	0.24	-9999	0.00	-9999	-9999
1	26	26	9.59	1.17	2.80	-0.60	0.33	-9999	0.00	-9999	-9999
1	27	27	1.57	-3.34	0.35	-4.65	0.06	-9999	5.30	-9999	-9999
1	28	28	1.85	-4.36	-4.00	-4.70	0.01	-9999	13.60	-9999	-9999
1	29	29	1.29	-5.10	-4.25	-5.50	0.01	-9999	2.40	-9999	-9999
1	30	30	1.16	-5.89	-5.10	-7.35	0.01	-9999	0.00	-9999	-9999
1	31	31	3.11	-6.57	-5.25	-7.75	0.01	-9999	0.00	-9999	-9999
2	1	32	11.90	-4.19	0.10	-7.15	0.16	-9999	0.00	-9999	-9999
2	2	33	4.85	3.61	5.90	-0.15	0.33	-9999	0.00	-9999	-9999
2	3	34	5.91	6.55	10.00	2.15	0.37	-9999	0.00	-9999	-9999
2	4	35	10.72	4.09	6.20	2.60	0.29	-9999	0.00	-9999	-9999
2	5	36	10.48	6.23	9.55	2.95	0.36	-9999	0.00	-9999	-9999
2	6	37	7.28	8.96	11.60	6.45	0.43	-9999	0.00	-9999	-9999
2	7	38	9.27	7.30	10.80	0.20	0.35	-9999	0.00	-9999	-9999
2	8	39	1.56	-1.66	0.65	-4.10	0.02	-9999	18.60	-9999	-9999
2	9	40	9.81	-2.53	1.20	-4.90	0.23	-9999	0.40	-9999	-9999
2	10	41	4.71	3.06	4.65	1.50	0.25	-9999	1.20	-9999	-9999
2	11	42	1.69	-2.65	0.70	-4.40	0.13	-9999	3.00	-9999	-9999
2	12	43	1.70	-4.90	-4.05	-6.40	0.06	-9999	3.30	-9999	-9999
2	13	44	2.55	-6.62	-6.00	-7.35	0.09	-9999	2.00	-9999	-9999
2	14	45	2.36	-5.54	-5.00	-6.15	0.03	-9999	4.60	-9999	-9999
2	15	46	4.97	-8.22	-6.65	-9.40	0.09	-9999	0.10	-9999	-9999
2	16	47	5.13	-4.63	-3.30	-6.80	0.22	-9999	3.30	-9999	-9999
2	17	48	1.02	-4.62	-1.45	-9.55	0.03	-9999	29.70	-9999	-9999
2	18	49	6.18	-9.72	-8.95	-10.70	0.04	-9999	1.10	-9999	-9999
2	19	50	6.51	-9.00	-8.15	-9.70	0.08	-9999	0.00	-9999	-9999
2	20	51	3.56	-5.35	-2.90	-7.90	0.10	-9999	17.60	-9999	-9999
2	21	52	2.92	-2.44	-2.05	-2.90	0.01	-9999	16.50	-9999	-9999
2	22	53	2.14	-1.70	-0.55	-3.05	0.01	-9999	19.00	-9999	-9999
2	23	54	2.32	-1.37	-0.60	-1.90	0.01	-9999	28.70	-9999	-9999
2	24	55	3.41	-2.93	-1.50	-3.65	0.01	-9999	27.45	-9999	-9999
2	25	56	13.98	-2.36	-0.65	-3.40	0.08	-9999	1.80	-9999	-9999
2	26	57	4.95	-1.08	0.45	-2.75	0.11	-9999	6.60	-9999	-9999
2	27	58	1.00	-0.24	0.20	-0.95	0.01	-9999	63.30	-9999	-9999
2	28	59	10.18	3.21	5.55	0.05	0.06	-9999	12.90	-9999	-9999
3	1	61	15.40	5.94	8.10	4.25	0.24	-9999	0.00	-9999	-9999
3	2	62	4.24	3.89	5.20	2.55	0.16	-9999	3.00	-9999	-9999
3	3	63	3.99	2.26	2.65	1.05	0.01	-9999	1.40	-9999	-9999
3	4	64	13.93	6.26	9.30	2.15	0.38	-9999	0.00	-9999	-9999
3	5	65	3.14	4.14	7.25	0.85	0.13	-9999	2.40	-9999	-9999
3	6	66	4.57	-0.15	0.40	-1.05	0.07	-9999	2.20	-9999	-9999
3	7	67	2.48	-1.40	-0.60	-2.20	0.05	-9999	6.30	-9999	-9999
3	8	68	12.55	1.29	4.15	-1.60	0.29	-9999	0.10	-9999	-9999
3	9	69	3.35	-0.13	3.95	-2.10	0.10	-9999	11.30	-9999	-9999
3	10	70	8.50	0.71	2.40	-1.45	0.24	-9999	0.50	-9999	-9999
3	11	71	3.17	-0.83	1.35	-1.55	0.02	-9999	25.80	-9999	-9999
3	12	72	6.93	-0.60	0.70	-1.35	0.10	-9999	12.00	-9999	-9999
3	13	73	2.57	1.63	3.10	-0.05	0.09	-9999	31.10	-9999	-9999
3	14	74	11.91	4.34	6.50	2.10	0.22	-9999	0.00	-9999	-9999
3	15	75	2.18	3.25	6.30	1.05	0.09	-9999	15.70	-9999	-9999
3	16	76	3.95	1.80	2.80	0.85	0.05	-9999	2.20	-9999	-9999
3	17	77	5.70	2.85	3.90	1.80	0.10	-9999	0.50	-9999	-9999
3	18	78	10.21	1.21	3.35	-1.60	0.36	-9999	0.90	-9999	-9999
3	19	79	5.65	-1.70	1.85	-4.35	0.10	-9999	12.60	-9999	-9999
3	20	80	7.44	-4.63	-4.00	-5.30	0.06	-9999	4.60	-9999	-9999
3	21	81	6.70	-4.35	-3.15	-5.55	0.11	-9999	1.20	-9999	-9999
3	22	82	16.37	-0.30	3.05	-3.80	0.35	-9999	0.00	-9999	-9999
3	23	83	3.83	2.32	5.25	0.40	0.19	-9999	1.40	-9999	-9999
3	24	84	8.11	-1.29	2.45	-2.50	0.13	-9999	8.20	-9999	-9999
3	25	85	11.61	-3.01	-1.00	-6.10	0.15	-9999	8.30	-9999	-9999
3	26	86	5.28	0.14	2.85	-1.20	0.11	-9999	12.00	-9999	-9999
3	27	87	6.32	3.55	6.00	0.75	0.13	-9999	5.70	-9999	-9999
3	28	88	18.29	7.51	12.95	2.15	0.30	-9999	0.00	-9999	-9999
3	29	89	2.11	0.71	3.95	-0.60	0.01	-9999	12.60	-9999	-9999
3	30	90	7.09	0.51	2.10	-0.90	0.01	-9999	6.20	-9999	-9999
