Month		n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI
1	1	1	2.80	-1.41	-0.15	-3.63	0.19	-9999	8.03	-9999	-9999
1	2	2	3.46	0.42	1.30	-2.28	0.19	-9999	24.74	-9999	-9999
1	3	3	5.48	-1.52	2.30	-4.43	0.15	-9999	2.40	-9999	-9999
1	4	4	6.01	-0.70	2.21	-5.48	0.17	-9999	0.00	-9999	-9999
1	5	5	1.04	2.99	4.42	1.85	0.11	-9999	15.80	-9999	-9999
1	6	6	5.74	1.37	3.72	-1.35	0.14	-9999	0.00	-9999	-9999
1	7	7	5.00	2.57	5.61	0.50	0.20	-9999	0.00	-9999	-9999
1	8	8	5.80	0.23	3.23	-1.59	0.13	-9999	0.00	-9999	-9999
1	9	9	5.48	-0.85	1.69	-1.92	0.14	-9999	0.00	-9999	-9999
1	10	10	2.35	-1.27	0.58	-2.99	0.13	-9999	0.00	-9999	-9999
1	11	11	1.76	-2.80	-2.33	-3.35	0.07	-9999	0.00	-9999	-9999
1	12	12	7.09	-5.09	-3.16	-8.98	0.09	-9999	0.00	-9999	-9999
1	13	13	6.36	-8.03	-5.19	-11.32	0.15	-9999	0.00	-9999	-9999
1	14	14	6.39	-3.63	-0.23	-5.61	0.33	-9999	0.00	-9999	-9999
1	15	15	6.38	-5.32	-2.85	-8.33	0.17	-9999	0.00	-9999	-9999
1	16	16	4.34	-5.55	-4.30	-6.61	0.10	-9999	0.60	-9999	-9999
1	17	17	0.90	-0.29	2.63	-6.05	0.15	-9999	1.10	-9999	-9999
1	18	18	0.69	0.48	2.21	-2.16	0.12	-9999	11.70	-9999	-9999
1	19	19	1.40	-3.49	-2.27	-4.19	0.14	-9999	4.25	-9999	-9999
1	20	20	6.48	-3.29	-1.88	-4.28	0.19	-9999	1.00	-9999	-9999
1	21	21	0.89	-2.22	-0.35	-4.86	0.16	-9999	4.30	-9999	-9999
1	22	22	2.24	-4.24	-1.86	-7.02	0.08	-9999	16.70	-9999	-9999
1	23	23	1.43	-3.83	-1.72	-8.40	0.08	-9999	13.20	-9999	-9999
1	24	24	5.04	-12.27	-9.09	-14.19	0.12	-9999	0.70	-9999	-9999
1	25	25	8.51	-12.45	-9.16	-14.98	0.15	-9999	0.00	-9999	-9999
1	26	26	8.64	-9.66	-6.17	-13.26	0.23	-9999	0.00	-9999	-9999
1	27	27	8.59	-5.05	-1.49	-8.39	0.31	-9999	0.00	-9999	-9999
1	28	28	6.15	-0.99	1.53	-4.50	0.27	-9999	0.00	-9999	-9999
1	29	29	4.29	3.43	5.50	0.31	0.25	-9999	8.20	-9999	-9999
1	30	30	0.87	4.20	7.35	1.03	0.13	-9999	51.90	-9999	-9999
1	31	31	4.71	6.78	8.10	5.44	0.25	-9999	5.20	-9999	-9999
2	1	32	8.97	7.33	12.26	3.39	0.28	-9999	0.00	-9999	-9999
2	2	33	8.34	8.35	10.40	4.94	0.35	-9999	2.00	-9999	-9999
2	3	34	1.45	1.63	4.73	0.64	0.16	-9999	9.10	-9999	-9999
2	4	35	8.86	1.41	4.40	-0.56	0.23	-9999	0.00	-9999	-9999
2	5	36	1.72	4.68	6.49	2.66	0.15	-9999	6.10	-9999	-9999
2	6	37	9.91	7.54	11.39	5.24	0.22	-9999	0.00	-9999	-9999
2	7	38	6.10	6.73	8.28	4.90	0.28	-9999	1.80	-9999	-9999
2	8	39	6.78	6.75	9.89	3.84	0.21	-9999	14.60	-9999	-9999
2	9	40	2.86	2.10	7.67	-0.87	0.19	-9999	11.70	-9999	-9999
2	10	41	4.96	0.59	3.05	-0.62	0.19	-9999	0.90	-9999	-9999
2	11	42	2.80	1.58	4.65	0.15	0.18	-9999	3.70	-9999	-9999
2	12	43	3.21	-0.14	0.36	-0.82	0.09	-9999	0.00	-9999	-9999
2	13	44	5.29	1.98	4.67	-1.31	0.18	-9999	14.40	-9999	-9999
2	14	45	5.84	-1.27	-0.23	-2.39	0.15	-9999	0.50	-9999	-9999
2	15	46	1.97	2.02	3.82	-0.29	0.13	-9999	8.20	-9999	-9999
2	16	47	5.58	1.33	6.15	-1.95	0.16	-9999	3.30	-9999	-9999
2	17	48	4.88	-2.43	-1.05	-3.78	0.20	-9999	2.10	-9999	-9999
2	18	49	8.11	-2.14	-0.42	-4.03	0.14	-9999	10.20	-9999	-9999
2	19	50	2.90	0.78	1.24	0.29	0.09	-9999	23.50	-9999	-9999
2	20	51	2.22	-1.18	0.22	-3.01	0.09	-9999	16.00	-9999	-9999
2	21	52	5.80	-4.52	-3.10	-5.38	0.12	-9999	6.00	-9999	-9999
2	22	53	11.80	-3.71	-1.67	-5.99	0.14	-9999	2.40	-9999	-9999
2	23	54	6.25	-2.26	-0.97	-3.54	0.11	-9999	2.70	-9999	-9999
2	24	55	6.03	0.17	1.87	-1.87	0.15	-9999	14.90	-9999	-9999
2	25	56	4.68	3.92	6.13	1.24	0.11	-9999	11.00	-9999	-9999
2	26	57	11.04	1.14	3.42	-0.50	0.15	-9999	0.10	-9999	-9999
2	27	58	15.58	3.08	7.82	-0.21	0.21	-9999	0.00	-9999	-9999
2	28	59	16.71	6.41	13.80	0.51	0.40	-9999	0.00	-9999	-9999
3	1	61	4.99	3.91	6.94	0.95	0.22	-9999	4.00	-9999	-9999
3	2	62	3.71	-1.21	0.74	-1.78	0.14	-9999	9.40	-9999	-9999
3	3	63	9.71	2.16	6.35	-3.41	0.33	-9999	0.00	-9999	-9999
3	4	64	3.92	0.36	5.44	-2.96	0.17	-9999	9.10	-9999	-9999
3	5	65	3.57	-3.97	-2.62	-5.41	0.17	-9999	5.50	-9999	-9999
3	6	66	15.61	-0.05	3.61	-3.55	0.34	-9999	0.00	-9999	-9999
3	7	67	15.35	4.45	7.76	0.98	0.38	-9999	0.00	-9999	-9999
3	8	68	2.03	5.54	6.63	3.23	0.20	-9999	14.40	-9999	-9999
3	9	69	2.11	8.15	11.84	5.93	0.19	-9999	19.10	-9999	-9999
3	10	70	0.95	2.89	6.64	1.33	0.10	-9999	37.80	-9999	-9999
3	11	71	1.50	4.65	6.22	2.57	0.14	-9999	18.80	-9999	-9999
3	12	72	6.22	3.18	5.41	1.12	0.21	-9999	0.00	-9999	-9999
3	13	73	9.37	2.86	5.31	0.77	0.18	-9999	0.00	-9999	-9999
3	14	74	4.65	3.98	6.14	1.13	0.18	-9999	5.90	-9999	-9999
3	15	75	2.95	-1.02	4.75	-2.75	0.12	-9999	21.80	-9999	-9999
3	16	76	2.44	-0.82	0.02	-2.14	0.14	-9999	6.30	-9999	-9999
3	17	77	1.36	-0.62	1.31	-2.95	0.09	-9999	42.50	-9999	-9999
3	18	78	12.06	-1.24	0.46	-3.38	0.19	-9999	0.00	-9999	-9999
3	19	79	3.69	-1.46	0.12	-2.55	0.12	-9999	9.00	-9999	-9999
3	20	80	13.16	-0.45	1.82	-2.56	0.20	-9999	0.60	-9999	-9999
3	21	81	12.57	2.03	6.28	-0.03	0.21	-9999	0.00	-9999	-9999
3	22	82	19.90	5.44	11.28	0.29	0.29	-9999	0.00	-9999	-9999
3	23	83	16.91	8.27	12.80	4.34	0.36	-9999	0.00	-9999	-9999
3	24	84	10.86	8.64	12.58	5.68	0.31	-9999	0.00	-9999	-9999
3	25	85	8.73	5.83	8.08	4.04	0.15	-9999	6.50	-9999	-9999
3	26	86	16.50	6.21	10.32	3.22	0.21	-9999	0.00	-9999	-9999
3	27	87	3.55	1.79	3.13	0.84	0.09	-9999	4.70	-9999	-9999
3	28	88	11.62	2.01	4.77	0.13	0.11	-9999	8.20	-9999	-9999
3	29	89	9.55	5.70	9.77	1.86	0.22	-9999	0.00	-9999	-9999
3	30	90	3.89	1.02	4.89	0.28	0.11	-9999	16.50	-9999	-9999
3	31	91	10.68	1.54	4.68	0.19	0.13	-9999	7.60	-9999	-9999
4	1	92	10.84	2.62	6.32	0.27	0.15	-9999	4.20	-9999	-9999
4	2	93	21.28	4.90	10.01	0.57	0.25	-9999	0.00	-9999	-9999
