Month		n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI
1	1	1	1.23	-4.31	-3.20	-5.60	0.02	-9999	5.00	-9999	-9999
1	2	2	8.31	-5.17	-4.05	-6.35	0.13	-9999	0.00	-9999	-9999
1	3	3	6.34	-3.17	-1.65	-5.00	0.36	-9999	0.00	-9999	-9999
1	4	4	5.92	4.13	6.55	-1.40	0.41	-9999	0.00	-9999	-9999
1	5	5	3.50	6.16	8.35	3.35	0.43	-9999	0.00	-9999	-9999
1	6	6	1.84	2.60	7.10	0.65	0.15	-9999	5.80	-9999	-9999
1	7	7	1.38	3.09	5.35	0.70	0.14	-9999	10.40	-9999	-9999
1	8	8	6.45	2.73	3.50	2.00	0.31	-9999	0.00	-9999	-9999
1	9	9	4.26	4.58	5.80	2.70	0.41	-9999	0.00	-9999	-9999
1	10	10	6.83	5.85	7.85	3.80	0.26	-9999	0.50	-9999	-9999
1	11	11	7.96	6.37	8.30	3.80	0.40	-9999	0.00	-9999	-9999
1	12	12	2.10	5.39	10.20	0.45	0.22	-9999	0.60	-9999	-9999
1	13	13	5.50	1.82	4.70	-0.25	0.07	-9999	0.60	-9999	-9999
1	14	14	7.71	5.06	8.20	3.35	0.32	-9999	0.00	-9999	-9999
1	15	15	7.53	4.70	7.10	2.75	0.36	-9999	0.00	-9999	-9999
1	16	16	1.96	6.82	7.65	4.50	0.41	-9999	0.00	-9999	-9999
1	17	17	1.84	1.99	4.45	0.75	0.11	-9999	4.00	-9999	-9999
1	18	18	1.43	4.37	6.30	1.15	0.17	-9999	4.20	-9999	-9999
1	19	19	0.92	6.67	8.00	4.25	0.14	-9999	17.30	-9999	-9999
1	20	20	5.82	6.59	7.50	5.00	0.23	-9999	4.50	-9999	-9999
1	21	21	8.26	5.32	6.95	3.15	0.27	-9999	0.00	-9999	-9999
1	22	22	0.90	2.39	7.80	-2.50	0.15	-9999	17.20	-9999	-9999
1	23	23	3.73	-2.03	0.85	-3.50	0.23	-9999	0.10	-9999	-9999
1	24	24	7.65	4.89	7.55	1.15	0.49	-9999	0.00	-9999	-9999
1	25	25	1.55	1.24	5.10	-0.75	0.16	-9999	1.70	-9999	-9999
1	26	26	9.47	3.42	9.05	-1.30	0.41	-9999	0.00	-9999	-9999
1	27	27	0.35	3.93	9.10	0.35	0.26	-9999	28.45	-9999	-9999
1	28	28	2.51	1.71	2.75	0.40	0.01	-9999	7.10	-9999	-9999
1	29	29	7.20	1.64	3.30	0.30	0.11	-9999	0.00	-9999	-9999
1	30	30	5.67	2.36	3.80	0.10	0.27	-9999	1.20	-9999	-9999
1	31	31	5.77	-1.04	0.40	-2.55	0.03	-9999	1.90	-9999	-9999
2	1	32	4.99	3.75	8.25	-2.95	0.37	-9999	0.00	-9999	-9999
2	2	33	2.66	0.81	6.80	-1.55	0.20	-9999	1.20	-9999	-9999
2	3	34	10.81	2.26	6.65	-3.05	0.36	-9999	0.00	-9999	-9999
2	4	35	9.03	7.04	8.70	5.30	0.41	-9999	0.00	-9999	-9999
2	5	36	2.52	2.01	6.60	-0.05	0.12	-9999	2.20	-9999	-9999
2	6	37	3.15	6.27	7.75	2.90	0.33	-9999	2.90	-9999	-9999
2	7	38	3.90	0.04	2.80	-0.75	0.14	-9999	2.90	-9999	-9999
2	8	39	11.25	-0.30	1.55	-2.40	0.23	-9999	0.00	-9999	-9999
2	9	40	11.06	0.41	2.65	-0.85	0.30	-9999	0.00	-9999	-9999
2	10	41	10.91	-0.98	1.10	-2.90	0.16	-9999	0.00	-9999	-9999
2	11	42	12.08	1.04	3.85	-1.15	0.28	-9999	0.00	-9999	-9999
2	12	43	12.54	1.99	4.55	-0.30	0.38	-9999	0.00	-9999	-9999
2	13	44	12.88	1.25	2.85	-1.65	0.40	-9999	0.00	-9999	-9999
2	14	45	12.37	0.42	2.15	-3.30	0.34	-9999	0.00	-9999	-9999
2	15	46	2.58	-5.06	-3.95	-6.35	0.08	-9999	0.90	-9999	-9999
2	16	47	8.50	-7.72	-6.60	-8.70	0.29	-9999	0.00	-9999	-9999
2	17	48	13.10	-4.55	-0.50	-10.10	0.41	-9999	0.00	-9999	-9999
2	18	49	12.38	1.81	4.30	-1.20	0.52	-9999	0.00	-9999	-9999
2	19	50	8.22	3.83	6.00	2.20	0.36	-9999	0.00	-9999	-9999
2	20	51	13.78	4.99	7.20	2.80	0.32	-9999	0.00	-9999	-9999
2	21	52	2.87	4.49	5.90	3.50	0.20	-9999	0.20	-9999	-9999
2	22	53	4.10	6.65	8.90	3.65	0.23	-9999	1.10	-9999	-9999
2	23	54	6.19	6.78	7.80	5.85	0.16	-9999	0.60	-9999	-9999
