Month	n_days		Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI
1	1	1	1.52	0.39	3.05	-1.40	0.06	-9999	4.30	-9999	-9999
1	2	2	0.83	-1.99	-1.40	-2.20	0.01	-9999	33.10	-9999	-9999
1	3	3	1.43	-2.89	-2.20	-3.20	0.01	-9999	48.30	-9999	-9999
1	4	4	1.14	-3.63	-3.20	-4.00	0.01	-9999	25.05	-9999	-9999
1	5	5	4.04	-3.56	-2.60	-4.50	0.01	-9999	5.10	-9999	-9999
1	6	6	4.08	0.27	1.35	-3.10	0.09	-9999	0.00	-9999	-9999
1	7	7	6.52	-0.63	1.40	-3.00	0.12	-9999	0.00	-9999	-9999
1	8	8	7.71	-2.54	-0.75	-3.55	0.22	-9999	0.00	-9999	-9999
1	9	9	7.93	-1.24	1.20	-3.60	0.30	-9999	0.00	-9999	-9999
1	10	10	7.79	-1.54	0.25	-2.55	0.31	-9999	0.00	-9999	-9999
1	11	11	8.50	-1.77	-0.45	-3.35	0.24	-9999	0.00	-9999	-9999
1	12	12	8.16	-1.56	1.00	-3.55	0.34	-9999	0.00	-9999	-9999
1	13	13	8.34	0.33	3.60	-3.30	0.39	-9999	0.00	-9999	-9999
1	14	14	8.38	-1.23	0.90	-2.60	0.38	-9999	0.00	-9999	-9999
1	15	15	8.52	0.20	3.25	-2.85	0.44	-9999	0.00	-9999	-9999
1	16	16	8.54	-1.60	0.95	-3.40	0.41	-9999	0.00	-9999	-9999
1	17	17	4.28	-0.36	1.45	-2.50	0.35	-9999	0.00	-9999	-9999
1	18	18	0.70	-0.89	1.70	-2.40	0.05	-9999	57.90	-9999	-9999
1	19	19	2.02	-2.02	-1.30	-2.75	0.07	-9999	34.80	-9999	-9999
1	20	20	6.96	1.24	3.50	-1.20	0.28	-9999	17.80	-9999	-9999
1	21	21	3.98	0.05	3.70	-1.60	0.13	-9999	31.60	-9999	-9999
1	22	22	1.14	-5.03	-1.40	-11.50	0.02	-9999	5.61	-9999	-9999
1	23	23	6.99	-13.30	-12.00	-14.15	0.05	-9999	0.00	-9999	-9999
1	24	24	9.76	-6.98	-4.05	-12.30	0.32	-9999	0.00	-9999	-9999
1	25	25	7.92	-3.29	-0.90	-5.50	0.39	-9999	0.00	-9999	-9999
1	26	26	6.54	-3.32	-2.05	-5.01	0.43	-9999	0.00	-9999	-9999
1	27	27	5.84	-1.11	1.10	-3.85	0.37	-9999	0.00	-9999	-9999
1	28	28	7.82	2.50	4.80	-0.25	0.35	-9999	0.00	-9999	-9999
1	29	29	9.92	-0.75	1.90	-4.60	0.15	-9999	0.00	-9999	-9999
1	30	30	10.55	0.32	4.05	-3.45	0.16	-9999	0.00	-9999	-9999
1	31	31	9.33	2.99	4.80	0.50	0.31	-9999	0.00	-9999	-9999
2	1	32	10.13	2.85	4.75	0.55	0.40	-9999	0.00	-9999	-9999
2	2	33	10.47	0.46	1.45	-0.25	0.35	-9999	0.00	-9999	-9999
2	3	34	10.90	-0.31	1.40	-3.95	0.34	-9999	0.00	-9999	-9999
2	4	35	2.92	-8.28	-4.80	-10.95	0.03	-9999	2.00	-9999	-9999
2	5	36	9.05	-8.33	-6.40	-9.30	0.05	-9999	0.20	-9999	-9999
2	6	37	2.99	-7.56	-6.10	-8.90	0.04	-9999	7.80	-9999	-9999
2	7	38	1.32	-2.37	-0.65	-5.65	0.01	-9999	24.40	-9999	-9999
2	8	39	5.09	-0.80	0.10	-1.65	0.11	-9999	0.00	-9999	-9999
2	9	40	3.07	-2.96	-1.35	-4.30	0.11	-9999	0.00	-9999	-9999
2	10	41	1.52	-4.27	-3.90	-4.90	0.04	-9999	0.00	-9999	-9999
2	11	42	3.07	-5.26	-4.65	-5.65	0.02	-9999	0.00	-9999	-9999
2	12	43	4.57	-6.31	-5.60	-6.65	0.08	-9999	0.00	-9999	-9999
2	13	44	6.19	-5.93	-4.70	-7.25	0.13	-9999	0.00	-9999	-9999
2	14	45	3.23	-2.90	-1.80	-5.10	0.22	-9999	0.00	-9999	-9999
2	15	46	7.85	1.62	4.75	-2.83	0.11	-9999	0.00	-9999	-9999
2	16	47	2.66	3.05	4.90	1.55	0.05	-9999	5.79	-9999	-9999
2	17	48	7.20	2.46	5.45	0.70	0.22	-9999	2.44	-9999	-9999
2	18	49	8.71	3.59	7.55	-0.20	0.33	-9999	25.70	-9999	-9999
2	19	50	13.08	4.12	6.55	1.05	0.29	-9999	4.60	-9999	-9999
2	20	51	7.78	5.57	8.60	0.40	0.32	-9999	1.60	-9999	-9999
2	21	52	8.48	1.91	3.65	0.25	0.04	-9999	0.80	-9999	-9999
2	22	53	2.11	-2.17	-0.45	-3.25	0.01	-9999	0.00	-9999	-9999
2	23	54	2.79	-3.41	-2.90	-3.90	0.01	-9999	0.20	-9999	-9999
2	24	55	5.17	-3.23	-1.80	-4.75	0.04	-9999	0.00	-9999	-9999
2	25	56	7.29	-3.97	-0.35	-5.70	0.06	-9999	1.40	-9999	-9999
2	26	57	3.04	-6.10	-5.05	-8.00	0.01	-9999	6.40	-9999	-9999
2	27	58	7.12	-8.52	-7.20	-9.80	0.07	-9999	3.60	-9999	-9999
2	28	59	13.30	-6.81	-4.90	-9.25	0.21	-9999	0.20	-9999	-9999
3	1	61	7.90	-4.40	-2.80	-5.65	0.16	-9999	6.70	-9999	-9999
3	2	62	15.21	-4.97	-2.85	-6.65	0.34	-9999	0.30	-9999	-9999
3	3	63	8.45	-0.78	3.85	-5.55	0.35	-9999	0.10	-9999	-9999
3	4	64	3.98	-1.68	3.60	-3.95	0.08	-9999	16.30	-9999	-9999
3	5	65	2.30	-5.68	-4.10	-6.85	0.01	-9999	41.30	-9999	-9999
3	6	66	4.53	-5.47	-4.95	-6.05	0.06	-9999	17.10	-9999	-9999
3	7	67	4.75	-5.55	-5.00	-6.10	0.05	-9999	1.50	-9999	-9999
3	8	68	18.15	-3.86	-0.55	-7.40	0.16	-9999	2.10	-9999	-9999
3	9	69	2.57	3.15	5.90	-2.00	0.11	-9999	17.02	-9999	-9999
3	10	70	3.38	1.22	5.10	-0.85	0.13	-9999	6.66	-9999	-9999
3	11	71	5.22	-1.56	-0.50	-2.05	0.07	-9999	0.00	-9999	-9999
3	12	72	9.45	-7.25	-1.60	-8.85	0.12	-9999	0.00	-9999	-9999
3	13	73	9.42	-8.54	-6.65	-9.95	0.10	-9999	0.00	-9999	-9999
3	14	74	7.93	-7.80	-6.40	-9.40	0.02	-9999	0.00	-9999	-9999
3	15	75	5.79	-6.16	-4.85	-7.10	0.02	-9999	0.00	-9999	-9999
3	16	76	3.99	-5.68	-4.60	-7.00	0.01	-9999	0.00	-9999	-9999
3	17	77	4.26	-4.04	-3.30	-4.80	0.02	-9999	0.00	-9999	-9999
3	18	78	8.41	-3.35	-1.05	-5.10	0.07	-9999	4.10	-9999	-9999
3	19	79	20.55	1.40	5.70	-3.95	0.26	-9999	0.00	-9999	-9999
3	20	80	19.80	4.82	7.55	1.70	0.37	-9999	1.00	-9999	-9999
3	21	81	14.00	6.59	9.45	4.25	0.39	-9999	1.40	-9999	-9999
3	22	82	10.78	4.59	6.85	1.55	0.13	-9999	3.10	-9999	-9999
3	23	83	4.76	-1.97	1.20	-3.45	0.09	-9999	0.50	-9999	-9999
3	24	84	18.96	4.63	10.35	-3.55	0.38	-9999	0.00	-9999	-9999
3	25	85	4.96	7.18	8.35	5.20	0.25	-9999	3.90	-9999	-9999
3	26	86	2.26	7.95	10.40	6.35	0.09	-9999	31.10	-9999	-9999
3	27	87	18.33	14.69	18.15	10.85	0.38	-9999	0.00	-9999	-9999
3	28	88	3.43	5.75	14.25	0.55	0.05	-9999	12.30	-9999	-9999
3	29	89	6.49	1.98	3.70	-0.15	0.10	-9999	23.60	-9999	-9999
3	30	90	11.81	6.61	9.25	3.50	0.24	-9999	6.10	-9999	-9999
3	31	91	10.46	8.36	10.20	6.70	0.19	-9999	10.40	-9999	-9999
4	1	92	16.28	10.36	13.10	7.95	0.37	-9999	0.00	-9999	-9999
4	2	93	14.35	7.68	11.15	5.40	0.17	-9999	11.30	-9999	-9999
4	3	94	7.91	4.11	6.70	1.30	0.11	-9999	9.80	-9999	-9999
4	4	95	15.26	3.50	6.50	1.05	0.19	-9999	0.50	-9999	-9999
4	5	96	10.90	1.44	4.30	-1.45	0.06	-9999	4.20	-9999	-9999
4	6	97	9.10	-1.67	0.05	-3.75	0.14	-9999	2.00	-9999	-9999
4	7	98	22.59	1.23	4.45	-2.40	0.33	-9999	0.00	-9999	-9999
