year,leFMDS_Wm2,leFMDS_qc,hFMDS_Wm2,hFMDS_qc
2000,5115.80069203646,0,4785.18085012292,0
2001,4095.21768980171,0,10286.105438115,0
2002,1690.35872639342,0,10356.0201055833,0
2003,7156.81564371781,0,14893.8901832667,0
2004,6381.02839821021,0,11154.7811365479,0
2005,5444.38762234998,0,11421.4560782565,0
2006,5661.02803259375,0,12682.6625465183,0
2007,7643.16975421837,0,11859.7771561788,0
2008,7875.6612171555,0,8904.22419368023,0
