Month	n_days	Rg_f	Rg_sqc	Ta_f	Ta_sqc	RH_f	RH_sqc	Ts_f	Ts_sqc	Precip	SWC
1	31	5.41	1	2.78	1	61.21	1	-9999	1	233.4	-9999
2	28	9.81	1	-1.42	1	56.62	1	-9999	1	21.6	-9999
3	31	13.78	1	4.24	1	75.54	1	-9999	1	37.6	-9999
4	30	16.93	1	6.97	1	61.37	1	-9999	1	46	-9999
5	31	18.90	1	13.7	1	56.93	1	-9999	1	14.2	-9999
6	30	21.38	1	18.31	1	48.20	1	-9999	1	113	-9999
7	31	21.67	1	19.63	1	67.66	1	-9999	1	89.6	-9999
8	31	18.48	1	20.37	1	51.12	1	-9999	1	50.4	-9999
9	30	14.08	1	13.68	1	52.90	1	-9999	1	50.6	-9999
10	31	8.45	1	10.07	1	74.17	1	-9999	1	160.4	-9999
11	30	6.80	1	7.76	1	72.47	1	-9999	1	121	-9999
12	31	5.14	1	3.06	1	53.14	1	-9999	1	67.2	-9999





