Month	n_days	Rg_f	Rg_sqc	Ta_f	Ta_sqc	RH_f	RH_sqc	Ts_f	Ts_sqc	Precip	SWC
1	31	7.16	1	-0.28	1	61.47	1	-9999	1	35.2	-9999
2	28	9.55	1	5.92	1	60.12	1	-9999	1	26.8	-9999
3	31	12.10	1	7.1	1	72.95	1	-9999	1	38.8	-9999
4	30	13.62	1	8.5	1	73.47	1	-9999	1	110.2	-9999
5	31	18.52	1	12.88	1	62.07	1	-9999	1	145	-9999
6	30	20.49	1	16.91	1	64.19	1	-9999	1	48.4	-9999
7	31	18.08	1	18.52	1	60.37	1	-9999	1	67.8	-9999
8	31	16.93	1	17.67	1	59.92	1	-9999	1	62.6	-9999
9	30	11.38	1	13.47	1	81.41	1	-9999	1	69.2	-9999
10	31	10.33	1	11.14	1	62.00	1	-9999	1	59.2	-9999
11	30	6.19	1	6.70	1	74.99	1	-9999	1	94.4	-9999
12	31	3.89	1	4.41	1	50.29	1	-9999	1	103.8	-9999





