Month	n_days	Rg_f	Rg_sqc	Ta_f	Ta_sqc	RH_f	RH_sqc	Ts_f	Ts_sqc	Precip	SWC
1	31	5.27	1	3.56	1	55.02	1	-9999	1	63.2	-9999
2	28	9.26	1	3.03	1	46.61	1	-9999	1	25.8	-9999
3	31	10.49	1	5.64	1	79.32	1	-9999	1	163.6	-9999
4	30	14.96	1	8.14	1	59.55	1	-9999	1	88.2	-9999
5	31	17.10	1	11.86	1	66.89	1	-9999	1	77	-9999
6	30	19.28	1	16.61	1	62.70	1	-9999	1	62.8	-9999
7	31	20.93	1	18.07	1	60.58	1	-9999	1	65	-9999
8	31	20.06	1	19.1	1	80.92	1	-9999	1	20.4	-9999
9	30	12.71	1	14.09	1	75.36	1	-9999	1	77.6	-9999
10	31	10.46	1	11.48	1	71.26	1	-9999	1	102.6	-9999
11	30	4.89	1	6.84	1	59.90	1	-9999	1	205.2	-9999
12	31	3.96	1	3.64	1	61.93	1	-9999	1	226	-9999




