Month	n_days	Rg_f	Rg_sqc	Ta_f	Ta_sqc	RH_f	RH_sqc	Ts_f	Ts_sqc	Precip	SWC
1	31	5.19	1	4.06	1	44.42	1	-9999	1	87.2	-9999
2	28	8.46	1	2.15	1	61.80	1	-9999	1	50.2	-9999
3	31	11.68	1	8.23	1	47.51	1	-9999	1	49	-9999
4	30	14.02	1	6.74	1	60.49	1	-9999	1	67.4	-9999
5	31	16.79	1	12.61	1	64.39	1	-9999	1	60.8	-9999
6	30	21.42	1	15.1	1	75.46	1	-9999	1	22.2	-9999
7	31	21.02	1	18.52	1	66.12	1	-9999	1	23.6	-9999
8	31	18.91	1	19.2	1	62.80	1	-9999	1	98	-9999
9	30	14.11	1	12.69	1	55.51	1	-9999	1	56.6	-9999
10	31	11.77	1	12.14	1	58.42	1	-9999	1	17.8	-9999
11	30	6.53	1	5.94	1	59.60	1	-9999	1	156.4	-9999
12	31	5.04	1	0.54	1	44.42	1	-9999	1	42.8	-9999





