Month	n_days	Rg_f	Rg_sqc	Ta_f	Ta_sqc	RH_f	RH_sqc	Ts_f	Ts_sqc	Precip	SWC
1	31	5.54	1	1.84	1	59.83	1	-9999	1	113.2	-9999
2	28	8.46	1	9.55	1	66.25	1	-9999	1	128.8	-9999
3	31	12.91	1	5.16	1	78.54	1	-9999	1	109.8	-9999
4	30	11.15	1	8.87	1	63.38	1	-9999	1	110.6	-9999
5	31	17.38	1	10.54	1	69.08	1	-9999	1	106.6	-9999
6	30	19.82	1	15.63	1	59.95	1	-9999	1	42.2	-9999
7	31	21.12	1	18.74	1	59.04	1	-9999	1	46.8	-9999
8	31	19.63	1	18.9	1	61.83	1	-9999	1	36	-9999
9	30	13.00	1	14.09	1	45.55	1	-9999	1	79.51	-9999
10	31	9.80	1	11.02	1	65.10	1	-9999	1	73.71	-9999
11	30	6.19	1	6.70	1	61.78	1	-9999	1	123.42	-9999
12	31	3.64	1	4.35	1	48.08	1	-9999	1	205.4	-9999




