
n_days	Rg_f	Ta_min	Ta_max	VPD_f 	 Ts_f  	Precip 	SWC	LAI
8	20.52	13,6	26,8	-9999	0.20	0	-9999	0.78
9	20.52	9	24,8	-9999	0.20	0	-9999	0.78
10	20.52	10,5	24,1	-9999	0.20	0	-9999	0.78
11	20.52	12,2	25	-9999	0.20	0	-9999	0.78
12	20.52	10,4	23,3	-9999	0.20	0	-9999	0.78
13	20.52	5,9	15,2	-9999	0.20	10,6	-9999	0.78
14	20.52	4,6	15,8	-9999	0.20	0,2	-9999	0.78
15	20.52	7	12,3	-9999	0.20	1,8	-9999	0.78
16	20.52	6,9	16,4	-9999	0.20	32,6	-9999	0.78
17	20.52	7,1	18	-9999	0.20	12	-9999	0.78
18	20.52	8,1	20,2	-9999	0.20	0	-9999	0.78
19	20.52	8,4	21,5	-9999	0.20	0	-9999	0.78
20	20.52	9	23	-9999	0.20	0	-9999	0.78
21	20.52	9,6	23,1	-9999	0.20	0	-9999	0.78
22	20.52	10,4	22,1	-9999	0.20	0	-9999	0.78
23	20.52	12,2	18,1	-9999	0.20	0	-9999	0.78
24	20.52	11,5	23,2	-9999	0.20	0	-9999	0.78
25	20.52	12,5	16,9	-9999	0.20	0	-9999	0.78
26	20.52	12,3	18,8	-9999	0.20	0	-9999	0.78
27	20.52	11,1	19,4	-9999	0.20	0	-9999	0.78
28	20.52	9,8	20,1	-9999	0.16	9,2	-9999	0.78
29	20.52	10,3	21,1	-9999	0.16	0,2	-9999	0.78
30	20.52	11,2	16,4	-9999	0.16	14,2	-9999	0.78
1	26.13	12,1	23,4	-9999	0.16	0	-9999	1.98
2	26.13	9,7	19,6	-9999	0.16	0	-9999	1.98
3	26.13	12,6	24,3	-9999	0.16	0	-9999	1.98
4	26.13	11,9	23,7	-9999	0.16	0	-9999	1.98
5	26.13	8,8	21,1	-9999	0.16	0	-9999	1.98
6	26.13	8,8	23,2	-9999	0.16	0	-9999	1.98
7	26.13	9,8	23,8	-9999	0.16	0	-9999	1.98
8	26.13	9,4	24,6	-9999	0.16	0	-9999	1.98
9	26.13	10,2	18,1	-9999	0.16	0	-9999	1.98
10	26.13	11,9	23,1	-9999	0.16	0	-9999	1.98
11	26.13	12,1	27,5	-9999	0.16	0	-9999	1.98
12	26.13	15,6	28,7	-9999	0.16	0	-9999	1.98
13	26.13	14,2	28,2	-9999	0.16	1	-9999	1.98
14	26.13	12,1	26,5	-9999	0.16	3,2	-9999	1.98
15	26.13	10	22,2	-9999	0.16	7,2	-9999	1.98
16	26.13	9,1	18,9	-9999	0.16	0	-9999	1.98
17	26.13	8,6	20,6	-9999	0.16	0	-9999	1.98
18	26.13	11,3	24,2	-9999	0.16	0	-9999	1.98
19	26.13	12,3	26,7	-9999	0.16	0	-9999	1.98
20	26.13	13,2	28,5	-9999	0.16	0	-9999	1.98
21	26.13	14,6	29,1	-9999	0.16	0	-9999	1.98
22	26.13	14,2	29,5	-9999	0.16	0	-9999	1.98
23	26.13	14,7	29,4	-9999	0.16	3,8	-9999	1.98
24	26.13	17,7	29,2	-9999	0.16	0,4	-9999	1.98
25	26.13	16,9	29,2	-9999	0.16	7,2	-9999	1.98
26	26.13	18,6	31,9	-9999	0.16	0,2	-9999	1.98
27	26.13	16,5	28,6	-9999	0.16	0	-9999	1.98
28	26.13	15,6	26,5	-9999	0.16	0	-9999	1.98
29	26.13	15,1	25,9	-9999	0.16	0,4	-9999	1.98
30	26.13	14,6	28,7	-9999	0.26	0,8	-9999	1.98
31	26.13	14,3	25,8	-9999	0.26	0	-9999	1.98
1	27.92	15,3	25,9	-9999	0.26	0	-9999	2.98
2	27.92	15,6	26,1	-9999	0.26	3	-9999	2.98
3	27.92	17	31,1	-9999	0.26	0,2	-9999	2.98
4	27.92	17,4	30	-9999	0.26	1,8	-9999	2.98
5	27.92	16,2	27,5	-9999	0.26	0	-9999	2.98
6	27.92	15,9	29,5	-9999	0.26	0	-9999	2.98
7	27.92	17,5	26,5	-9999	0.26	0	-9999	2.98
8	27.92	16,6	24,5	-9999	0.26	0	-9999	2.98
9	27.92	15,8	27	-9999	0.26	0	-9999	2.98
10	27.92	14,3	26,4	-9999	0.26	0	-9999	2.98
11	27.92	15,9	26,6	-9999	0.26	0	-9999	2.98
12	27.92	15,1	27,8	-9999	0.26	0	-9999	2.98
13	27.92	16,4	28,4	-9999	0.26	0	-9999	2.98
14	27.92	15,5	29	-9999	0.26	0	-9999	2.98
15	27.92	16,6	29,9	-9999	0.26	10	-9999	2.98
16	27.92	16,7	30,8	-9999	0.26	0	-9999	2.98
17	27.92	16	29,4	-9999	0.26	0	-9999	2.98
18	27.92	17,6	29,9	-9999	0.26	0	-9999	2.98
19	27.92	19,1	31	-9999	0.26	0	-9999	2.98
20	27.92	17	30,3	-9999	0.26	0	-9999	2.98
21	27.92	15,6	32	-9999	0.26	0	-9999	2.98
22	27.92	16,7	32,6	-9999	0.26	0,4	-9999	2.98
