Month	n_days	Rg_f	Rg_sqc	Ta_f	Ta_sqc	RH_f	RH_sqc	Ts_f	Ts_sqc	Precip	SWC
1	31	5.52	1	-0.10	1	53.49	1	-9999	1	51.6	-9999
2	28	8.00	1	-1.03	1	66.38	1	-9999	1	58	-9999
3	31	13.72	1	5.15	1	50.64	1	-9999	1	96	-9999
4	30	16.01	1	7.55	1	42.65	1	-9999	1	41.8	-9999
5	31	19.59	1	13.75	1	53.79	1	-9999	1	21.2	-9999
6	30	20.05	1	15.92	1	54.82	1	-9999	1	67.2	-9999
7	31	22.00	1	18.51	1	46.93	1	-9999	1	7.2	-9999
8	31	16.71	1	17.35	1	75.53	1	-9999	1	58.4	-9999
9	30	11.96	1	14.95	1	71.13	1	-9999	1	115.8	-9999
10	31	10.18	1	10.61	1	64.95	1	-9999	1	71.2	-9999
11	30	5.79	1	6.08	1	80.93	1	-9999	1	207.2	-9999
12	31	4.52	1	2.07	1	65.58	1	-9999	1	129.4	-9999




