Month	n_days	Rg_f	Rg_sqc	Ta_f	Ta_sqc	RH_f	RH_sqc	Ts_f	Ts_sqc	Precip	SWC
1	31	5.15	1	0.58	1	69.69	1	-9999	1	67.6	-9999
2	28	8.31	1	2	1	51.61	1	-9999	1	85.6	-9999
3	31	9.82	1	5.23	1	58.30	1	-9999	1	64.8	-9999
4	30	14.38	1	9.36	1	59.21	1	-9999	1	73.8	-9999
5	31	19.72	1	12.14	1	56.77	1	-9999	1	12	-9999
6	30	18.40	1	15.14	1	77.77	1	-9999	1	57.6	-9999
7	31	20.53	1	18.74	1	72.11	1	-9999	1	34	-9999
8	31	17.24	1	17.28	1	72.66	1	-9999	1	58	-9999
9	30	13.67	1	15.62	1	67.94	1	-9999	1	149.4	-9999
10	31	11.13	1	11.62	1	63.46	1	-9999	1	11.4	-9999
11	30	8.41	1	5.31	1	66.57	1	-9999	1	34.6	-9999
12	31	5.65	1	3.03	1	65.99	1	-9999	1	17	-9999




