Stazione 	Cod. 	Regione 	Prov. 	Comune 	Quota 	Lat. 	Long. 	Rete
 NAPOLI CAPODICHINO 	119 	CAMPANIA 	NA 	NAPOLI 	88 	40° 51' 	14° 18' 	ENAV
 CAPO PALINURO 	121 	CAMPANIA 	SA 	CENTOLA 	184 	40° 1' 	15° 16' 	AM
 CASTEL VOLTURNO 	222 	CAMPANIA 	CE 	CASTEL VOLTURNO 	4 	41° 3' 	13° 59' 	RAN
 TORELLA DEI LOMBARDI 	501 	CAMPANIA 	AV 	TORELLA DEI LOMBARDI 	564 	40° 54' 	15° 3' 	RAN
 PONTECAGNANO 	122 	CAMPANIA 	SA 	PONTECAGNANO FAIANO 	29 	40° 38' 	14° 52' 	AM
 PONTECAGNANO 	220 	CAMPANIA 	SA 	PONTECAGNANO FAIANO 	29 	40° 37' 	14° 52' 	RAN
 GRAZZANISE 	117 	CAMPANIA 	CE 	GRAZZANISE 	9 	41° 3' 	14° 4' 	RAN
 FOGGIA AMENDOLA 	124 	PUGLIA 	FG 	FOGGIA 	57 	41° 26' 	15° 33' 	AM
 PALO DEL COLLE 	223 	PUGLIA 	BA 	PALO DEL COLLE 	191 	41° 3' 	16° 37' 	RAN
 TURI 	226 	PUGLIA 	BA 	TURI 	230 	40° 55' 	17° 0' 	RAN
 TARANTO 	130 	PUGLIA 	TA 	TARANTO 	25 	40° 28' 	17° 13' 	RAN
 MARINA DI GINOSA 	130 	PUGLIA 	TA 	GINOSA 	2 	40° 26' 	16° 53' 	AM
 BRINDISI 	134 	PUGLIA 	BR 	BRINDISI 	15 	40° 39' 	17° 57' 	AM
 S. MARIA DI LEUCA 	135 	PUGLIA 	LE 	CASTRIGNANO DEL CAPO 	104 	39° 49' 	18° 21' 	AM
 LECCE 	136 	PUGLIA 	LE 	LECCE 	48 	40° 21' 	18° 10' 	AM
 GENZANO DI LUCANIA 	207 	BASILICATA 	PZ 	GENZANO DI LUCANIA 	572 	40° 50' 	16° 2' 	RAN
 POTENZA 	139 	BASILICATA 	PZ 	POTENZA 	823 	40° 38' 	15° 48' 	AM
 ALIANO 	227 	BASILICATA 	MT 	ALIANO 	250 	40° 16' 	16° 18' 	RAN
 MATERA 	228 	BASILICATA 	MT 	MATERA 	370 	40° 39' 	16° 36' 	RAN
 TARANTO 	509 	PUGLIA 	TA 	TARANTO 	25 	40° 28' 	17° 13' 	RAN
 BONIFATI 	142 	CALABRIA 	CS 	BONIFATI 	484 	39° 35' 	15° 53' 	AM
 SIBARI 	229 	CALABRIA 	CS 	CASSANO ALLO IONIO 	10 	39° 44' 	16° 26' 	RAN
 RIZZICONI 	512 	CALABRIA 	RC 	RIZZICONI 	95 	38° 23' 	15° 56' 	RAN
 LAMEZIA TERME 	147 	CALABRIA 	CZ 	LAMEZIA TERME 	216 	38° 58' 	16° 19' 	ENAV
