Year,x,y,Age,Species,Management,N,Stool,AvDBH,Height,Wf,Wrc,Wrf,Ws,Wbb,Wres,Lai
1963,2,0,29,Fagussylvatica_LTWR_0_2,T,723,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1963,3,0,29,Fagussylvatica_LTWR_0_3,T,723,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1963,4,0,29,Fagussylvatica_LTWR_0_4,T,723,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1963,5,0,29,Fagussylvatica_LTWR_0_5,T,723,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1963,6,0,29,Fagussylvatica_LTWR_0_6,T,723,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1963,7,0,29,Fagussylvatica_LTWR_0_7,T,723,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1963,8,0,29,Fagussylvatica_LTWR_0_8,T,723,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1963,9,0,29,Fagussylvatica_LTWR_0_9,T,723,0,5.961357466,8.814479638,0,0,0,0,0,0,0
//
1966,0,0,29,Fagussylvatica_LTWR_1,T,652,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1966,1,0,29,Fagussylvatica_LTWR_0_1,T,652,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1966,2,0,29,Fagussylvatica_LTWR_0_2,T,652,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1966,3,0,29,Fagussylvatica_LTWR_0_3,T,652,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1966,4,0,29,Fagussylvatica_LTWR_0_4,T,652,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1966,5,0,29,Fagussylvatica_LTWR_0_5,T,652,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1966,6,0,29,Fagussylvatica_LTWR_0_6,T,652,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1966,7,0,29,Fagussylvatica_LTWR_0_7,T,652,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1966,8,0,29,Fagussylvatica_LTWR_0_8,T,652,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1966,9,0,29,Fagussylvatica_LTWR_0_9,T,652,0,5.961357466,8.814479638,0,0,0,0,0,0,0
//
1969,0,0,29,Fagussylvatica_LTWR_1,T,589,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1969,1,0,29,Fagussylvatica_LTWR_0_1,T,589,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1969,2,0,29,Fagussylvatica_LTWR_0_2,T,589,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1969,3,0,29,Fagussylvatica_LTWR_0_3,T,589,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1969,4,0,29,Fagussylvatica_LTWR_0_4,T,589,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1969,5,0,29,Fagussylvatica_LTWR_0_5,T,589,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1969,6,0,29,Fagussylvatica_LTWR_0_6,T,589,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1969,7,0,29,Fagussylvatica_LTWR_0_7,T,589,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1969,8,0,29,Fagussylvatica_LTWR_0_8,T,589,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1969,9,0,29,Fagussylvatica_LTWR_0_9,T,589,0,5.961357466,8.814479638,0,0,0,0,0,0,0
//
1973,0,0,29,Fagussylvatica_LTWR_1,T,535,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1973,1,0,29,Fagussylvatica_LTWR_0_1,T,535,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1973,2,0,29,Fagussylvatica_LTWR_0_2,T,535,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1973,3,0,29,Fagussylvatica_LTWR_0_3,T,535,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1973,4,0,29,Fagussylvatica_LTWR_0_4,T,535,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1973,5,0,29,Fagussylvatica_LTWR_0_5,T,535,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1973,6,0,29,Fagussylvatica_LTWR_0_6,T,535,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1973,7,0,29,Fagussylvatica_LTWR_0_7,T,535,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1973,8,0,29,Fagussylvatica_LTWR_0_8,T,535,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1973,9,0,29,Fagussylvatica_LTWR_0_9,T,535,0,5.961357466,8.814479638,0,0,0,0,0,0,0
//
1977,0,0,29,Fagussylvatica_LTWR_1,T,489,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1977,1,0,29,Fagussylvatica_LTWR_0_1,T,489,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1977,2,0,29,Fagussylvatica_LTWR_0_2,T,489,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1977,3,0,29,Fagussylvatica_LTWR_0_3,T,489,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1977,4,0,29,Fagussylvatica_LTWR_0_4,T,489,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1977,5,0,29,Fagussylvatica_LTWR_0_5,T,489,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1977,6,0,29,Fagussylvatica_LTWR_0_6,T,489,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1977,7,0,29,Fagussylvatica_LTWR_0_7,T,489,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1977,8,0,29,Fagussylvatica_LTWR_0_8,T,489,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1977,9,0,29,Fagussylvatica_LTWR_0_9,T,489,0,5.961357466,8.814479638,0,0,0,0,0,0,0
//
1981,0,0,29,Fagussylvatica_LTWR_1,T,448,0,5.961357466,8.814479638,0,0,0,0,0,0,0
