"esm_id","esm_name"
1,"HadGEM2-ES"
2,"IPSL-CM5A-LR"
3,"MIROC-ESM-CHEM"
4,"GFDL-ESM2M"
5,"NorESM1-M"
6,"MIROC5"
7,"Princeton"
8,"GSWP3"
9,"WATCH"
10,"WATCH-WFDEI.GPCC"
