Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	WS_f			
1995	3	2	11.02	10.34	11.71	6.71	2.74	-9999	9.70	-9999	-9999	-9999	-9999			
1995	3	3	18.28	10.79	13.35	4.04	4.79	-9999	4.40	-9999	-9999	-9999	-9999			
1995	3	4	11.10	9.14	10.44	5.71	2.42	-9999	8.30	-9999	-9999	-9999	-9999			
1995	3	5	19.00	8.15	10.65	1.55	4.00	-9999	1.70	-9999	-9999	-9999	-9999			
1995	3	6	16.73	8.45	10.47	3.13	3.41	-9999	14.90	-9999	-9999	-9999	-9999			
1995	3	7	27.71	8.64	11.41	1.33	4.47	-9999	0.00	-9999	-9999	-9999	-9999			
1995	3	8	21.93	8.08	11.15	-0.01	4.68	-9999	22.40	-9999	-9999	-9999	-9999			
1995	3	9	24.93	9.24	11.49	3.30	3.92	-9999	0.00	-9999	-9999	-9999	-9999			
1995	3	10	28.97	9.01	11.93	1.33	4.76	-9999	0.00	-9999	-9999	-9999	-9999			
1995	3	11	29.40	10.04	13.06	2.09	5.21	-9999	0.00	-9999	-9999	-9999	-9999			
1995	3	12	30.73	11.05	14.36	2.32	5.95	-9999	0.00	-9999	-9999	-9999	-9999			
1995	3	13	20.37	10.89	12.59	6.42	3.41	-9999	0.00	-9999	-9999	-9999	-9999			
1995	3	14	22.15	8.75	10.59	3.90	3.21	-9999	0.00	-9999	-9999	-9999	-9999			
1995	3	15	21.84	8.48	11.23	1.22	4.41	-9999	1.70	-9999	-9999	-9999	-9999			
1995	3	16	18.87	11.12	13.33	5.30	4.32	-9999	1.20	-9999	-9999	-9999	-9999			
1995	3	17	32.12	10.11	13.42	1.40	5.61	-9999	0.00	-9999	-9999	-9999	-9999			
1995	3	18	28.38	11.36	13.95	4.55	4.99	-9999	0.00	-9999	-9999	-9999	-9999			
1995	3	19	27.29	12.62	15.03	6.25	5.09	-9999	0.00	-9999	-9999	-9999	-9999			
1995	3	20	24.80	12.46	14.55	6.95	4.47	-9999	0.00	-9999	-9999	-9999	-9999			
1995	3	21	33.82	8.49	11.92	-0.56	5.22	-9999	0.00	-9999	-9999	-9999	-9999			
1995	3	22	33.79	8.68	12.04	-0.19	5.20	-9999	0.00	-9999	-9999	-9999	-9999			
1995	3	23	35.19	8.77	12.48	-1.01	5.63	-9999	0.00	-9999	-9999	-9999	-9999			
1995	3	24	31.77	11.27	14.25	3.43	5.55	-9999	0.00	-9999	-9999	-9999	-9999			
1995	3	25	28.52	11.27	13.73	4.79	4.77	-9999	0.00	-9999	-9999	-9999	-9999			
1995	3	26	22.34	12.86	14.66	8.13	4.02	-9999	0.00	-9999	-9999	-9999	-9999			
1995	3	27	14.16	12.05	13.51	8.20	3.19	-9999	3.90	-9999	-9999	-9999	-9999			
1995	3	28	15.58	7.29	8.85	3.17	2.55	-9999	1.80	-9999	-9999	-9999	-9999			
1995	3	29	25.92	8.64	11.90	0.06	5.07	-9999	1.80	-9999	-9999	-9999	-9999			
1995	3	30	26.56	6.86	8.91	1.44	3.14	-9999	0.00	-9999	-9999	-9999	-9999			
1995	3	31	33.23	7.08	9.90	-0.37	4.12	-9999	0.00	-9999	-9999	-9999	-9999			
1995	4	1	37.68	9.54	13.42	-0.69	6.09	-9999	0.00	-9999	-9999	-9999	-9999			
1995	4	2	34.38	13.06	16.25	4.65	6.52	-9999	0.00	-9999	-9999	-9999	-9999			
1995	4	3	33.31	12.04	15.03	4.17	5.83	-9999	0.00	-9999	-9999	-9999	-9999			
1995	4	4	29.35	13.68	16.13	7.21	5.49	-9999	0.00	-9999	-9999	-9999	-9999			
1995	4	5	32.30	13.45	16.28	5.99	6.08	-9999	0.00	-9999	-9999	-9999	-9999			
1995	4	6	35.83	13.52	16.94	4.52	7.06	-9999	0.00	-9999	-9999	-9999	-9999			
1995	4	7	37.20	15.86	19.67	5.83	8.78	-9999	0.00	-9999	-9999	-9999	-9999			
1995	4	8	35.04	14.81	18.10	6.14	7.40	-9999	0.00	-9999	-9999	-9999	-9999			
1995	4	9	32.98	12.93	15.80	5.36	5.96	-9999	0.00	-9999	-9999	-9999	-9999			
1995	4	10	28.65	10.93	14.71	0.96	6.51	-9999	0.90	-9999	-9999	-9999	-9999			
1995	4	11	28.82	12.39	14.70	6.31	4.84	-9999	0.00	-9999	-9999	-9999	-9999			
1995	4	12	38.35	13.61	17.44	3.53	7.72	-9999	0.00	-9999	-9999	-9999	-9999			
1995	4	13	20.60	11.61	13.80	5.84	4.42	-9999	4.20	-9999	-9999	-9999	-9999			
1995	4	14	17.32	8.7	10.42	4.16	3.02	-9999	4.70	-9999	-9999	-9999	-9999			
1995	4	15	29.36	8.32	10.60	2.32	3.74	-9999	0.00	-9999	-9999	-9999	-9999			
1995	4	16	35.76	10.81	13.89	2.69	5.55	-9999	0.00	-9999	-9999	-9999	-9999			
1995	4	17	38.82	11.93	15.60	2.27	6.77	-9999	0.00	-9999	-9999	-9999	-9999			
1995	4	18	37.21	12.5	15.87	3.61	6.58	-9999	0.00	-9999	-9999	-9999	-9999			
1995	4	19	28.36	14.25	16.51	8.30	5.30	-9999	0.00	-9999	-9999	-9999	-9999			
