year,mo,day,leFMDS_Wm2,leFMDS_qc,hFMDS_Wm2,hFMDS_qc
1996,4,23,78.0146861875,0,64.346118125,0
1996,4,24,75.6881877083333,0,45.7068561041667,0
1996,4,25,75.9279375,0,58.867875,0
1996,4,26,78.0146861875,0,64.346118125,0
1996,4,27,75.6881877083333,0,45.7068561041667,0
1996,4,28,75.9279375,0,58.867875,0
1996,4,29,78.0146861875,0,64.346118125,0
1996,4,30,75.6881877083333,0,45.7068561041667,0
1996,5,1,75.9279375,0,58.867875,0
1996,5,2,78.0146861875,0,64.346118125,0
1996,5,3,75.6881877083333,0,45.7068561041667,0
1996,5,4,75.9279375,0,58.867875,0
1996,5,5,78.0146861875,0,64.346118125,0
1996,5,6,75.6881877083333,0,45.7068561041667,0
1996,5,7,75.9279375,0,58.867875,0
1996,5,8,78.0146861875,0,64.346118125,0
1996,5,9,75.6881877083333,0,45.7068561041667,0
1996,5,10,75.9279375,0,58.867875,0
1996,5,11,78.0146861875,0,64.346118125,0
1996,5,12,75.6881877083333,0,45.7068561041667,0
1996,5,13,75.9279375,0,58.867875,0
1996,5,14,78.0146861875,0,64.346118125,0
1996,5,15,75.6881877083333,0,45.7068561041667,0
1996,5,16,75.9279375,0,58.867875,0
1996,5,17,78.0146861875,0,64.346118125,0
1996,5,18,75.6881877083333,0,45.7068561041667,0
1996,5,19,75.9279375,0,58.867875,0
1996,5,20,78.0146861875,0,64.346118125,0
1996,5,21,75.6881877083333,0,45.7068561041667,0
1996,5,22,75.9279375,0,58.867875,0
1996,5,23,78.0146861875,0,64.346118125,0
1996,5,24,75.6881877083333,0,45.7068561041667,0
1996,5,25,75.9279375,0,58.867875,0
1996,5,26,78.0146861875,0,64.346118125,0
1996,5,27,75.6881877083333,0,45.7068561041667,0
1996,5,28,75.9279375,0,58.867875,0
1996,5,29,78.0146861875,0,64.346118125,0
1996,5,30,75.6881877083333,0,45.7068561041667,0
1996,5,31,75.9279375,0,58.867875,0
1996,6,1,78.0146861875,0,64.346118125,0
1996,6,2,75.6881877083333,0,45.7068561041667,0
1996,6,3,75.9279375,0,58.867875,0
1996,6,4,78.0146861875,0,64.346118125,0
1996,6,5,75.6881877083333,0,45.7068561041667,0
1996,6,6,75.9279375,0,58.867875,0
1996,6,7,78.0146861875,0,64.346118125,0
1996,6,8,75.6881877083333,0,45.7068561041667,0
1996,6,9,75.9279375,0,58.867875,0
1996,6,10,78.0146861875,0,64.346118125,0
