Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	WS_f			
1972	2	29	18.72	6.44	10.11	2.69	3.36	-9999	2.20	-9999	-9999	-9999	-9999			
1972	3	1	17.52	6.32	9.42	2.89	2.93	-9999	1.90	-9999	-9999	-9999	-9999			
1972	3	2	17.87	6.31	9.05	2.47	2.89	-9999	0.10	-9999	-9999	-9999	-9999			
1972	3	3	21.39	6.46	7.25	1.64	2.28	-9999	0.00	-9999	-9999	-9999	-9999			
1972	3	4	21.36	5.10	8.81	-0.04	3.50	-9999	7.30	-9999	-9999	-9999	-9999			
1972	3	5	18.79	7.08	9.22	2.37	3.00	-9999	10.50	-9999	-9999	-9999	-9999			
1972	3	6	21.38	7.44	8.44	2.95	2.42	-9999	0.00	-9999	-9999	-9999	-9999			
1972	3	7	18.36	7.21	8.92	2.54	2.80	-9999	14.60	-9999	-9999	-9999	-9999			
1972	3	8	15.26	9.74	10.20	5.32	2.45	-9999	7.60	-9999	-9999	-9999	-9999			
1972	3	9	27.31	10.97	13.65	5.63	4.40	-9999	0.00	-9999	-9999	-9999	-9999			
1972	3	10	20.93	8.52	13.38	5.50	4.28	-9999	9.30	-9999	-9999	-9999	-9999			
1972	3	11	13.93	9.58	10.40	6.12	2.22	-9999	6.90	-9999	-9999	-9999	-9999			
1972	3	12	16.16	7.21	10.97	5.89	2.65	-9999	10.40	-9999	-9999	-9999	-9999			
1972	3	13	19.58	4.43	7.13	0.69	2.52	-9999	2.00	-9999	-9999	-9999	-9999			
1972	3	14	18.90	5.55	4.80	0.62	1.54	-9999	0.00	-9999	-9999	-9999	-9999			
1972	3	15	29.11	6.28	7.58	-0.22	2.98	-9999	0.00	-9999	-9999	-9999	-9999			
1972	3	16	33.23	7.33	12.29	1.00	5.05	-9999	0.00	-9999	-9999	-9999	-9999			
1972	3	17	30.95	9.45	13.04	4.02	4.60	-9999	0.00	-9999	-9999	-9999	-9999			
1972	3	18	32.14	10.14	13.79	4.09	5.05	-9999	0.00	-9999	-9999	-9999	-9999			
1972	3	19	34.19	9.48	14.13	2.52	5.74	-9999	0.00	-9999	-9999	-9999	-9999			
1972	3	20	34.55	10.36	15.08	2.98	6.23	-9999	0.00	-9999	-9999	-9999	-9999			
1972	3	21	34.34	10.51	16.21	4.30	6.60	-9999	0.00	-9999	-9999	-9999	-9999			
1972	3	22	35.09	10.39	16.38	3.78	6.88	-9999	0.00	-9999	-9999	-9999	-9999			
1972	3	23	35.21	11.00	16.58	3.99	6.96	-9999	0.00	-9999	-9999	-9999	-9999			
1972	3	24	35.30	11.67	16.89	4.37	7.07	-9999	0.00	-9999	-9999	-9999	-9999			
1972	3	25	36.53	12.86	19.93	5.03	9.24	-9999	0.00	-9999	-9999	-9999	-9999			
1972	3	26	35.93	10.80	19.81	6.03	8.83	-9999	0.00	-9999	-9999	-9999	-9999			
1972	3	27	31.11	10.28	16.06	6.81	5.60	-9999	0.00	-9999	-9999	-9999	-9999			
1972	3	28	26.85	10.05	13.28	6.08	3.99	-9999	0.00	-9999	-9999	-9999	-9999			
1972	3	29	24.30	11.21	13.13	6.88	3.55	-9999	0.00	-9999	-9999	-9999	-9999			
