monthly output file at cell level

Monthly summary output from 3D-CMCC version 'f', time 'd', spatial 'u'


Cell 1526, 963, Lat = 37.53, Long  = 14.2


Monthly GPP = monthly total gross primary production (gC/m2/month)
Monthly NPP = monthly total net primary production (tDM/m2/month)
Monthly ET = monthly canopy transpiration(mm/month)



-YEAR      MONTH        GPP        NPP         ET

-2007          1          0          0          0
-2007          2          0          0          0
-2007          3          0          0          0
-2007          4          0          0          0
-2007          5    183.367   0.160314    44.8813
-2007          6    307.566   0.268899    97.6419
-2007          7     148.12   0.129498    92.0911
-2007          8    211.813   0.185184    83.9605
-2007          9    242.726    0.21221    63.1984
-2007         10    77.7522  0.0679771    20.8676
-2007         11          0          0          0
-2007         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2008          1          0          0          0
-2008          2          0          0          0
-2008          3          0          0          0
-2008          4          0          0          0
-2008          5    213.692   0.186202    50.2707
-2008          6    303.676   0.264611    97.2353
-2008          7    145.052   0.126393    91.5557
-2008          8    207.432   0.180748    83.5695
-2008          9    237.805   0.207214    62.9247
-2008         10    77.1404  0.0672171    20.9173
-2008         11          0          0          0
-2008         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2009          1          0          0          0
-2009          2          0          0          0
-2009          3          0          0          0
-2009          4          0          0          0
-2009          5    209.286     0.1821    50.1668
-2009          6    295.679    0.25727    96.7084
-2009          7    141.206   0.122863    90.8939
-2009          8    201.938   0.175706    83.0848
-2009          9    231.504   0.201431    62.5634
-2009         10    75.1989  0.0654304    20.7326
-2009         11          0          0          0
-2009         12          0          0          0
