monthly output file at cell level

Monthly summary output from 3D-CMCC version 'f', time 'd', spatial 'u'


Cell 0, 0, Lat = 51.18, Long  = 4.31


Monthly GPP = monthly total gross primary production (gC/m2/month)
Monthly NPP = monthly total net primary production (tDM/m2/month)
Monthly ET = monthly canopy transpiration(mm/month)



-YEAR      MONTH        GPP        NPP         ET

-2001          1          0          0          0
-2001          2          0          0          0
-2001          3          0          0          0
-2001          4          0          0          0
-2001          5          0          0          0
-2001          6          0          0          0
-2001          7    222.378    1.34421    83.8307
-2001          8    196.882    1.19009    73.7573
-2001          9     112.53   0.680212    43.0534
-2001         10    60.5863   0.366226    26.1191
-2001         11          0          0          0
-2001         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2002          1          0          0          0
-2002          2          0          0          0
-2002          3          0          0          0
-2002          4          0          0          0
-2002          5          0          0          0
-2002          6          0          0          0
-2002          7    149.916    1.43902    67.8871
-2002          8    160.178    1.53752    61.6181
-2002          9    127.794    1.22667    51.2632
-2002         10    41.4686    0.39805    24.2024
-2002         11          0          0          0
-2002         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2003          1          0          0          0
-2003          2          0          0          0
-2003          3          0          0          0
-2003          4          0          0          0
-2003          5          0          0          0
-2003          6    5.24576  0.0502997     5.0938
-2003          7     164.33     1.5757    76.5592
-2003          8     184.81    1.77208    78.2809
-2003          9    143.565     1.3766    56.7515
-2003         10    62.2872    0.59725    33.9347
-2003         11    3.85359  0.0369507    3.63956
-2003         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2004          1          0          0          0
-2004          2          0          0          0
-2004          3          0          0          0
-2004          4          0          0          0
-2004          5          0          0          0
-2004          6          0          0          0
-2004          7    114.888    1.10261    56.7099
-2004          8    173.354    1.66372    70.0284
-2004          9     127.76    1.22614    52.7714
-2004         10    52.6607   0.505397    27.4191
-2004         11   0.304512 0.00292248   0.436066
-2004         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2005          1          0          0          0
-2005          2          0          0          0
-2005          3          0          0          0
-2005          4          0          0          0
-2005          5          0          0          0
-2005          6    35.0256   0.335437     22.493
-2005          7    182.329    1.74615    77.7096
-2005          8    169.467    1.62297    70.2242
-2005          9    139.088    1.33204    57.9005
-2005         10    71.9224   0.688795    34.1461
-2005         11    5.43656  0.0520655    4.38776
-2005         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2006          1          0          0          0
-2006          2          0          0          0
-2006          3          0          0          0
-2006          4          0          0          0
-2006          5          0          0          0
-2006          6          0          0          0
-2006          7    107.611    1.03202    64.0058
-2006          8    118.879    1.14009    51.5992
-2006          9    118.874    1.14004    50.9539
-2006         10    50.7701   0.486902     26.209
-2006         11   0.399809  0.0038343   0.690961
-2006         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2007          1          0          0          0
-2007          2          0          0          0
-2007          3          0          0          0
-2007          4          0          0          0
-2007          5          0          0          0
-2007          6     0.1773 0.00169856    0.21194
-2007          7    98.5528   0.944148    54.7267
-2007          8    139.503    1.33646    64.8573
-2007          9    103.465   0.991211    48.1365
-2007         10    45.5352   0.436233    27.0135
-2007         11   0.977301 0.00936266    1.13151
-2007         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2008          1          0          0          0
-2008          2          0          0          0
-2008          3          0          0          0
-2008          4          0          0          0
-2008          5          0          0          0
-2008          6          0          0          0
-2008          7    89.2807   0.854193    50.5844
-2008          8    129.004    1.23425    59.4851
-2008          9    102.462   0.980307    49.6737
-2008         10     44.022   0.421181    26.8869
-2008         11          0          0          0
-2008         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2009          1          0          0          0
-2009          2          0          0          0
-2009          3          0          0          0
-2009          4          0          0          0
-2009          5          0          0          0
-2009          6          0          0          0
-2009          7    91.8383   0.880011    53.3731
-2009          8    154.217    1.47774    76.7038
-2009          9    111.573    1.06911     50.992
-2009         10    41.0015   0.392884    26.2831
-2009         11          0          0          0
-2009         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2010          1          0          0          0
-2010          2          0          0          0
-2010          3          0          0          0
-2010          4          0          0          0
-2010          5          0          0          0
-2010          6          0          0          0
-2010          7     98.267   0.940511    55.7538
-2010          8    135.164    1.29365     61.261
-2010          9    106.331    1.01769    48.8565
-2010         10    46.2782   0.442927    27.7507
-2010         11          0          0          0
-2010         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2011          1          0          0          0
-2011          2          0          0          0
-2011          3          0          0          0
-2011          4          0          0          0
-2011          5          0          0          0
-2011          6          0          0          0
-2011          7    71.9129   0.689553    42.4121
-2011          8    123.539    1.18458    59.2766
-2011          9    106.491    1.02111    49.2293
-2011         10    46.3515   0.444451    28.6027
-2011         11    1.31269   0.012587    1.33314
-2011         12          0          0          0
